cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,,o,p,k,s,g
x,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g
x,f,w,f,n,f,w,b,n,,e,s,f,w,,p,w,o,e,,a,g
f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
x,,g,f,f,,c,b,h,e,b,k,k,b,b,p,w,,l,h,y,p
f,y,u,,n,f,c,n,,e,?,s,f,w,w,p,,o,f,h,v,d
f,f,n,t,n,f,c,b,n,t,b,s,s,,p,p,w,o,p,n,v,
x,f,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,,d
x,s,b,t,f,f,c,b,h,t,b,f,f,w,w,p,w,,p,h,v,u
f,f,y,t,a,f,,n,,t,b,s,s,w,w,p,w,,p,,v,d
x,y,n,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,,l
,s,w,f,n,f,w,,n,,e,s,s,w,w,p,w,,e,n,a,g
f,f,n,t,n,f,,b,,,,s,s,g,,p,w,,p,n,v,d
f,y,,f,f,,c,b,p,e,b,k,k,p,n,p,w,,l,,y,g
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,,w,o,p,k,s,g
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
x,f,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,,n,y,
x,y,,,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g
f,y,c,t,n,f,,b,w,e,b,s,s,w,w,p,w,,p,w,y,p
x,y,n,f,y,f,c,n,b,t,?,k,,w,w,,w,o,,w,v,
,y,e,,s,f,c,n,b,,?,k,k,w,p,p,w,o,e,w,v,d
f,y,n,f,y,f,c,n,b,t,?,s,k,w,p,p,w,,e,w,,l
f,s,,f,,f,c,n,b,t,,k,k,w,w,p,w,o,,w,v,d
f,f,g,f,f,,c,,h,e,b,k,k,b,n,p,w,o,l,h,y,p
f,s,b,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,,v,g
,y,n,t,,f,c,b,p,e,r,,y,w,,p,w,o,p,n,y,g
x,y,g,f,f,f,c,b,g,e,b,k,k,,p,p,w,o,l,h,y,g
b,f,g,f,n,f,w,b,w,e,?,s,k,w,w,p,w,t,,w,n,g
f,s,w,f,n,f,w,,k,t,e,s,s,w,w,p,w,o,e,k,s,g
f,f,g,t,n,f,c,b,u,t,,s,s,g,g,p,w,o,p,n,v,d
f,f,e,t,n,f,c,,u,t,b,s,s,w,w,p,w,o,,n,v,d
f,s,n,f,y,f,c,n,b,,?,s,k,p,w,p,w,,e,w,v,d
x,f,g,f,f,f,c,b,g,e,b,k,k,,n,p,w,,l,h,y,d
f,,g,t,n,f,c,b,u,t,,s,s,g,g,,w,o,,k,y,d
f,s,w,t,p,f,c,n,n,e,e,s,s,,w,p,w,o,p,n,s,u
x,f,g,,n,f,c,b,p,t,b,s,,w,w,p,w,o,p,k,v,d
,y,y,f,f,f,c,b,p,e,,k,,p,p,p,,o,l,h,v,
x,s,n,f,,f,w,b,,t,e,,f,w,w,p,w,o,,k,s,g
f,s,n,f,s,,c,n,b,t,?,s,s,w,w,,w,o,e,w,,p
k,s,w,f,n,f,w,,,e,?,s,s,w,w,p,w,t,p,w,s,g
,s,e,f,y,f,c,n,b,,?,k,,p,p,p,w,o,e,w,,d
f,y,e,t,n,f,,b,w,t,b,s,s,w,p,p,,o,p,k,y,d
k,y,e,f,y,f,c,n,b,t,?,s,k,p,w,,w,o,e,w,v,p
f,y,y,f,,,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
x,f,g,f,f,f,c,b,,e,,k,,p,p,,w,o,l,h,,p
,f,w,f,n,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,n,g
x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,,,o,e,k,a,g
f,y,e,t,n,f,c,b,w,t,b,s,s,w,,p,w,o,,n,y,d
f,s,b,,f,f,c,b,w,,,s,s,w,w,p,w,o,p,h,v,g
b,s,g,f,n,f,w,b,p,e,?,s,s,,,p,w,t,p,w,s,g
x,s,n,f,f,f,c,,b,t,?,k,s,p,w,p,w,,e,w,v,p
b,s,g,,n,f,w,b,w,e,?,s,k,w,w,,w,t,p,w,n,g
,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
,,,t,l,f,,b,n,e,r,s,y,w,w,p,w,o,p,,s,g
f,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,,v,d
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,,w,o,p,n,s,g
f,y,e,,n,f,c,,n,t,b,s,s,w,p,p,w,o,p,k,v,d
x,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,,o,p,k,v,d
,y,n,f,s,f,c,,b,t,?,k,s,w,w,p,w,o,e,w,,p
x,y,y,t,l,f,c,b,n,e,c,s,s,,w,,w,o,p,k,,m
f,,n,t,a,f,c,b,n,e,r,s,y,w,w,p,,o,p,n,s,g
x,y,n,t,l,f,c,b,n,e,r,s,,w,,p,w,o,p,n,y,p
x,s,,,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g
f,y,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d
x,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d
x,f,,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,,h,y,g
x,s,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l
x,s,n,f,f,f,c,,b,t,?,s,s,p,p,p,w,o,e,w,v,d
x,y,g,,f,f,c,b,h,e,b,,k,,b,p,w,o,l,h,v,d
x,f,n,t,n,,c,b,,t,,s,s,g,p,p,w,o,p,n,y,d
b,s,y,t,l,,c,,n,e,c,s,s,,w,,w,o,p,k,n,m
f,f,g,f,f,,c,b,h,e,b,k,k,b,b,,w,o,l,h,v,g
x,f,g,f,f,f,c,b,p,,b,k,k,,n,p,w,o,,h,,g
x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
f,s,g,f,n,f,w,b,,,,,,w,w,p,w,o,e,n,a,g
,y,g,f,f,f,c,b,p,e,b,k,k,,p,p,w,o,l,,v,g
x,y,,f,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d
x,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,,o,,n,v,d
x,f,,t,n,f,c,b,w,t,b,s,s,,g,p,w,o,p,k,y,
f,y,n,f,f,f,c,n,b,t,?,k,k,w,p,,w,o,e,w,v,l
,s,e,f,y,f,,n,b,t,?,s,s,p,p,p,,o,e,w,v,d
f,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,
f,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,n,v,l
f,f,n,,n,f,,b,p,,b,s,s,w,p,p,w,o,p,n,y,d
f,,e,f,,f,c,n,b,t,?,k,s,p,,p,w,o,e,w,v,p
x,,e,f,s,f,c,n,,t,?,s,s,p,p,p,w,o,e,w,v,p
x,y,y,f,f,f,c,b,g,e,b,k,k,b,n,,w,,l,h,v,g
x,f,n,t,n,,c,b,u,t,b,s,,w,p,p,w,o,p,k,v,d
x,y,y,f,f,f,c,b,p,,b,k,k,n,p,p,w,,l,h,v,g
b,s,w,t,a,f,c,,w,e,c,s,s,,w,p,w,o,,k,,g
x,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,,y,d
x,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
x,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d
b,s,g,f,n,f,w,b,,e,?,k,s,w,w,p,,,p,w,s,g
f,y,e,f,f,,c,n,b,,?,s,s,p,w,p,w,o,e,w,v,d
,f,,f,f,f,c,,g,e,,k,,b,n,,w,o,l,h,v,p
f,f,g,f,f,f,,b,h,,b,k,k,b,n,p,w,o,l,h,v,d
x,f,p,f,c,f,c,,n,e,b,s,s,w,w,p,w,,p,k,s,d
x,s,w,f,,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g
x,y,g,f,f,f,c,b,g,e,b,k,k,n,p,,w,o,l,h,y,d
f,f,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,,k,y,d
f,s,p,,n,f,c,b,w,e,,s,s,w,w,p,w,t,e,w,c,w
f,f,g,t,n,f,,b,u,t,b,s,,w,w,,w,o,p,n,v,d
f,y,,t,n,f,c,b,p,t,b,s,s,w,g,p,w,,p,,v,d
f,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d
,s,e,f,s,f,c,,b,t,?,,k,w,w,p,w,,e,w,v,p
x,y,e,f,y,f,c,n,b,t,,k,k,w,w,p,w,o,e,,v,p
x,y,w,t,,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
x,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,,d
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,,o,p,n,n,g
k,s,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
x,,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,,g
k,y,e,f,s,f,c,n,b,t,?,k,,p,w,p,w,o,e,w,v,p
f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g
,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,,g
f,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g
x,f,,f,n,f,w,b,g,,?,s,s,,w,p,w,t,p,w,n,g
x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
x,f,,f,f,f,c,b,g,e,,k,k,n,p,p,w,o,l,h,v,d
x,f,y,f,f,f,c,b,,e,b,k,k,b,n,p,w,o,l,h,v,p
x,f,g,f,,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d
x,,n,f,s,f,c,n,b,t,?,k,s,w,,p,w,o,e,w,v,l
x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,,
x,y,w,t,l,f,c,b,n,e,c,,s,w,w,p,w,o,p,n,n,g
x,s,w,t,f,,c,b,w,t,b,s,f,w,w,p,,o,,h,v,u
f,y,,f,f,f,c,b,,,,k,k,b,b,,w,o,l,h,y,p
x,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,,k,y,d
f,f,g,f,n,f,c,n,g,e,e,,s,w,w,p,w,o,p,n,y,u
x,y,w,t,p,,c,n,,e,e,s,s,w,,p,w,o,p,n,v,
x,f,,t,n,,,b,n,t,,s,s,g,w,p,,o,p,k,v,
f,y,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d
x,s,n,t,p,f,c,n,n,,e,s,s,w,w,p,w,o,p,n,v,u
,y,y,f,f,f,c,b,h,e,b,k,k,n,p,,w,o,l,h,,d
x,y,e,t,n,f,c,b,w,t,b,,s,w,w,p,w,o,p,k,y,
f,y,n,f,f,,c,n,b,t,?,s,k,,w,p,w,o,e,w,v,l
x,y,n,f,,f,c,n,b,t,?,,s,p,,p,w,o,e,w,v,d
f,s,e,f,f,f,c,n,b,t,?,,k,w,p,p,w,o,e,w,v,p
f,s,b,t,f,f,c,b,p,t,b,s,f,w,w,p,w,,p,,,u
,s,g,f,n,f,,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g
x,f,e,t,n,f,c,,p,t,,s,s,,p,p,w,o,p,k,y,d
x,y,,f,,f,c,b,p,e,b,,k,n,b,p,w,o,,h,v,g
x,y,e,f,s,f,c,n,b,t,?,k,s,p,w,p,,,e,w,v,p
,y,y,t,l,f,c,b,n,e,,s,y,w,w,p,w,o,p,k,s,p
k,s,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p
x,y,e,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,,v,p
,y,c,f,m,a,c,,w,e,c,k,y,c,c,p,w,n,n,w,c,d
f,y,g,t,n,f,c,b,n,t,b,s,s,,,,,o,,k,,d
x,,g,,f,f,c,,g,e,b,k,k,,p,,w,o,,,v,d
x,s,w,t,p,f,c,n,k,e,e,s,,w,w,p,w,o,p,k,v,
f,s,n,t,p,f,c,n,n,e,,s,s,w,w,p,w,,,n,s,u
x,f,g,t,n,,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d
x,,y,f,f,f,,b,h,e,b,k,,p,,,,,l,,v,g
f,y,n,t,n,f,c,b,p,t,b,s,s,,g,p,w,,p,n,y,d
f,s,n,,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
f,s,,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p
k,s,e,f,y,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l
f,,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,,n,y,
x,,g,,n,f,c,b,u,t,b,s,s,,w,p,w,o,p,n,,d
x,s,w,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,,h,s,g
x,s,n,f,y,f,c,n,b,t,?,s,,,p,p,w,o,e,w,v,
f,s,w,t,a,f,w,n,p,t,b,,s,w,w,p,w,o,,n,v,d
k,s,n,f,f,f,c,,b,t,?,,k,p,w,,w,o,e,w,v,l
f,f,y,f,f,f,c,b,h,e,b,k,k,n,,p,w,o,l,h,,
f,y,g,f,f,f,,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p
f,y,y,,f,f,c,b,h,e,b,k,k,p,p,p,,o,l,h,v,g
f,s,b,t,f,f,c,b,h,t,b,f,f,w,w,,w,o,p,h,,g
x,,e,t,n,f,c,b,p,t,b,s,s,,w,,w,o,p,n,v,d
x,y,n,t,,,c,b,u,t,b,s,s,p,g,p,w,o,,k,y,d
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
x,y,,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,
k,y,e,f,y,f,c,n,b,t,?,k,k,w,p,,w,o,e,w,v,d
f,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d
x,f,n,t,n,f,,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d
x,s,b,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g
x,y,e,t,n,,c,b,p,t,b,s,s,p,w,p,,o,p,k,,d
b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
f,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
b,s,w,t,a,f,c,b,n,e,c,s,s,,w,p,w,o,p,k,s,m
f,s,n,f,n,f,w,b,p,t,e,s,s,w,,p,w,o,e,k,a,g
x,y,,t,n,f,c,b,p,t,,s,,g,p,p,w,o,p,k,v,d
x,y,e,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,
x,,e,t,n,,c,b,e,e,?,s,,e,,,w,t,e,w,c,
f,,b,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g
x,,g,,n,,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d
x,f,p,f,c,,,n,g,e,b,s,s,w,w,p,w,o,p,n,v,
f,s,g,f,n,f,,b,k,t,,s,f,w,w,p,w,o,e,k,s,g
f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,,a,g
x,y,y,t,a,f,c,b,n,,c,s,s,,w,p,w,o,p,k,s,
x,y,,t,n,f,c,b,w,t,b,s,s,,g,p,w,o,p,n,y,d
x,y,w,,l,f,c,b,k,e,c,s,s,w,w,p,w,,p,n,n,m
k,s,n,f,,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
,f,e,,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
f,s,w,f,n,f,w,b,h,t,e,,f,w,w,p,w,o,e,k,a,g
x,s,n,f,f,f,c,n,b,,?,s,s,p,p,p,w,o,e,w,,
f,s,n,f,s,f,c,,,t,?,k,s,w,,p,w,o,e,w,v,p
,y,n,f,y,f,c,n,b,t,?,s,,p,,p,w,o,e,w,v,d
x,s,,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
x,y,e,f,f,f,c,n,b,t,?,k,,p,w,p,,,,w,v,d
x,y,n,t,a,f,c,b,n,e,r,,y,,w,p,w,o,p,k,s,p
f,y,n,t,l,f,,b,w,e,r,s,y,w,w,,w,o,p,n,s,p
b,s,y,t,,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
k,s,n,f,s,f,c,n,b,t,,s,k,p,w,,,o,e,w,v,
f,f,w,,,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,
x,y,g,t,n,f,c,b,u,,b,s,s,g,g,p,w,,,k,v,d
x,y,w,f,,f,c,n,w,e,?,s,f,w,w,p,,o,,h,y,d
f,y,n,,n,f,c,b,n,t,,s,s,,w,p,,,p,n,y,d
,y,y,f,f,f,c,b,,e,b,k,k,n,p,p,w,,l,h,v,d
f,s,w,t,f,f,c,b,p,t,,f,s,w,w,p,w,o,p,h,s,u
f,f,g,,f,f,c,b,g,e,,k,k,p,b,p,w,o,l,h,y,d
k,y,n,t,n,f,c,b,e,e,?,s,s,e,w,p,w,,e,w,c,w
x,,e,f,y,f,,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
x,,,t,n,f,c,b,n,t,b,s,s,,,p,w,o,p,k,v,d
f,,n,,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p
x,y,n,f,,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
x,y,g,f,f,f,c,b,h,,,k,k,b,p,p,w,o,l,h,v,p
f,y,n,t,p,,c,n,w,e,e,s,s,w,w,p,w,,p,k,v,u
k,f,w,f,n,f,w,b,p,,?,k,s,w,,p,,t,p,w,s,g
x,y,n,t,n,f,,b,w,t,b,s,s,w,,p,w,o,p,n,y,d
x,s,w,t,f,f,c,b,w,t,b,f,f,w,w,p,,o,p,h,v,g
x,s,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d
x,s,w,f,n,f,w,b,w,e,?,k,s,w,w,,w,,p,w,s,g
b,s,w,t,l,f,,b,,e,,s,,w,w,,w,o,p,k,n,m
x,y,n,t,p,f,c,n,,e,e,s,s,,w,p,w,o,p,k,,
b,s,,f,n,f,,,p,e,?,k,s,w,w,p,,t,,w,,g
x,f,e,t,n,f,c,b,,t,b,,s,w,p,p,w,o,p,n,y,
f,y,n,t,,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,,a,g
k,y,n,f,y,f,c,n,b,t,?,k,,w,p,p,w,,e,w,v,p
x,,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d
x,,n,,s,f,c,n,b,t,?,,k,w,p,,w,o,e,w,v,p
x,y,,t,a,f,c,b,,,c,s,,w,w,p,,o,p,n,n,g
b,s,g,f,n,f,,b,w,e,?,s,k,w,,,w,t,p,w,s,g
,f,w,f,n,f,w,b,h,t,,s,f,w,w,p,w,o,e,n,s,g
x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
x,y,e,f,f,f,c,,b,t,?,k,k,w,w,p,w,o,e,w,v,l
f,y,y,f,f,,c,b,g,e,b,k,,p,p,p,w,o,l,h,y,p
f,f,g,t,n,f,c,b,p,t,b,s,s,,g,p,w,o,p,k,v,d
f,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g
k,,n,,n,a,c,b,y,e,?,,s,o,o,,o,o,p,n,c,l
f,y,e,f,f,f,c,n,b,t,?,s,k,w,,p,w,o,e,,v,p
k,s,g,f,n,f,w,b,w,e,?,k,s,w,w,,w,t,p,w,n,g
x,,g,f,n,f,w,b,h,t,e,s,s,w,w,p,,o,e,k,a,g
f,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
x,y,w,,a,f,c,b,w,e,c,s,s,w,,p,w,o,p,n,s,g
x,f,g,t,n,f,c,b,w,t,,s,s,p,g,p,w,,p,n,y,d
,y,n,f,f,f,,n,b,t,?,k,k,p,w,p,w,o,,w,v,d
f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,,n,s,g
b,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,,o,p,y,,l
x,y,n,t,,f,c,b,n,t,b,,s,p,p,p,w,o,p,n,v,d
x,s,e,f,f,f,,n,b,t,?,s,,w,w,p,w,o,e,,v,l
f,y,g,f,f,f,,b,p,e,b,k,k,p,b,,w,o,l,,y,p
f,,n,f,s,f,c,n,,t,?,k,s,p,p,p,,,e,w,v,p
f,y,n,f,s,f,c,,b,t,?,,k,p,w,p,w,o,e,w,v,d
x,s,n,t,p,f,c,n,,e,e,s,s,w,w,p,w,o,,,v,g
f,y,n,t,n,f,,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
x,f,w,f,n,f,w,b,g,e,?,k,,w,,p,w,t,,,n,g
f,s,n,f,f,f,c,n,b,t,?,k,k,w,,p,w,o,e,w,v,
f,y,g,f,f,f,c,,h,e,b,k,k,n,p,p,w,o,l,,,g
f,,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p
x,y,,f,s,,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p
x,y,y,t,a,f,,b,w,e,r,s,y,w,w,p,w,o,,n,s,p
,y,w,t,p,f,c,n,w,e,,s,s,w,w,p,w,o,p,k,s,g
,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,,h,,g
f,,c,f,n,f,,,w,e,,f,s,w,n,p,w,,,w,v,l
x,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g
f,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,,d
f,f,g,f,f,f,,b,g,e,b,k,k,b,p,p,w,,l,h,,g
f,y,e,f,f,f,c,n,b,,?,k,,w,p,,,o,e,w,v,l
f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,,o,e,n,s,
f,y,g,f,f,,c,b,g,e,b,k,k,,,p,w,o,l,h,v,g
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
f,f,n,t,n,f,c,b,u,t,b,s,,g,p,p,w,o,p,k,v,d
x,,n,f,n,f,w,b,p,t,,s,s,w,w,p,w,o,e,n,s,g
b,y,w,t,l,f,c,b,w,e,c,s,s,,w,p,w,o,p,k,n,
f,f,g,,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,
k,y,e,f,f,,,n,,t,?,,,,w,p,w,o,e,w,v,l
b,y,w,t,l,,c,b,,e,c,s,s,w,w,p,w,o,p,k,s,g
x,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,
x,y,g,t,n,f,c,b,,t,,s,s,p,p,p,,,p,k,y,d
x,,w,t,f,f,c,,h,t,b,s,f,w,w,p,,o,p,h,s,g
f,f,e,t,n,f,c,b,w,t,b,s,,g,p,p,w,o,p,n,y,
x,y,n,f,f,f,c,n,b,t,?,s,k,w,w,,w,o,e,,v,d
f,f,g,f,n,f,c,n,n,e,e,s,s,,w,p,w,o,p,n,y,u
x,y,y,f,f,f,c,b,p,,b,k,k,p,b,p,w,o,l,h,,g
x,f,g,f,f,f,c,b,,,b,k,k,n,n,p,w,o,l,h,v,g
x,y,n,t,a,f,,b,,e,,s,y,w,w,,w,o,p,k,y,g
x,f,g,t,n,f,c,b,u,t,b,s,s,,g,p,w,o,p,n,y,
x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g
x,f,w,f,n,f,,b,k,t,e,,s,w,w,p,,o,e,k,a,
k,f,c,f,n,f,w,n,w,,b,f,f,w,n,p,w,o,e,w,v,l
f,s,,t,p,f,c,,n,e,e,s,s,w,w,p,w,o,p,k,v,u
x,,,t,l,f,c,b,k,e,c,s,,w,w,p,w,o,p,k,s,m
x,s,n,f,n,f,w,b,h,t,e,f,f,w,,p,w,o,e,k,a,g
,s,w,f,n,f,w,b,p,e,?,s,,w,w,p,w,t,p,,,g
f,f,,f,f,f,c,b,,e,b,k,k,b,b,,w,o,l,h,v,
x,y,e,f,,f,c,n,b,t,?,s,s,,,p,w,,e,w,v,d
x,y,g,t,,f,c,b,u,t,b,s,s,g,g,p,,o,p,n,v,d
x,s,w,t,a,f,c,b,n,e,c,s,,w,w,p,,o,p,n,s,g
x,s,w,f,n,f,w,b,,t,e,f,f,w,w,p,,o,e,n,,g
x,s,b,t,f,f,c,b,h,t,b,s,,,w,p,w,o,,h,s,u
k,y,n,f,f,f,c,n,,t,?,,s,w,p,p,w,o,,w,v,l
f,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,,o,l,h,v,
f,y,e,f,s,f,c,n,,t,,k,s,,p,p,,o,e,w,v,d
x,y,,f,n,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d
k,f,w,f,n,f,w,b,,e,?,s,k,w,w,p,w,,p,,s,g
f,,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,,d
,s,y,t,l,,c,b,w,e,c,s,s,w,w,,w,,p,n,,m
x,y,g,t,n,f,c,b,u,,b,s,s,p,p,,w,o,p,n,v,d
f,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g
f,y,u,f,n,f,c,n,w,e,?,s,f,w,w,p,w,o,f,h,v,d
x,y,e,t,,f,c,b,,t,b,s,s,w,w,p,w,o,,,,d
x,y,,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d
f,y,g,t,n,f,c,b,,t,b,s,s,p,g,,w,o,p,n,y,d
k,y,e,f,y,f,c,n,b,t,?,k,k,p,p,p,,o,e,w,v,l
,y,,t,n,,c,b,n,t,b,s,,,p,p,w,o,p,n,y,d
,f,g,f,f,f,c,b,h,e,b,k,k,p,,p,w,o,,h,v,g
x,,,f,f,f,c,,g,e,b,k,,n,,p,w,o,l,,y,d
x,,w,t,a,f,c,b,g,e,c,s,s,w,w,,,o,p,k,,g
f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p
f,y,y,t,l,f,,b,n,e,r,s,y,w,w,p,w,o,p,,s,p
x,s,n,f,s,f,c,n,b,t,,s,k,p,w,p,w,o,,w,,d
k,y,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
x,,y,f,f,,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d
b,,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
x,s,w,t,f,,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,u
x,f,w,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,,g
x,s,b,t,,f,c,b,w,t,b,f,f,w,w,,w,o,p,h,s,
f,f,g,f,,f,w,,h,t,,s,,w,w,p,w,o,,k,a,g
f,y,e,f,f,,c,n,b,t,?,s,,w,p,p,w,o,,w,v,l
