cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
,s,w,f,n,,,,,,e,,,,w,,w,o,,n,s,g,e
x,s,,t,,,c,,,,,s,,,,,,,,,s,g,e
,,,,f,,,,p,e,,,,,,p,,,,h,y,,p
,,e,,,,,,,,?,,,w,w,,,,,,,,p
b,,,f,,f,,,,,,,,w,,p,,,,w,,,e
x,,,,n,f,,,,,,,f,,w,,,,e,,s,g,e
,,,t,p,,c,,,,,,,,w,,,,,,,,p
,,n,f,,,c,,,e,,s,,,,,,o,,,c,,e
,,,,,f,,,b,t,,,,,w,p,,,,,,l,p
,s,n,f,,,,,,,?,,,w,,,,,,,,,p
x,,,,,f,,,,t,b,,,,,p,w,,,,,,e
,,n,,n,,,,,,,,s,,w,,,,,,,,e
,,,,,,,b,,,b,,,,,p,,,p,,,d,e
,,,,,f,c,,b,t,?,,k,,p,,,,,w,,,p
,,g,,,,c,b,p,,b,s,,w,,,,o,,,,,e
x,y,,,f,f,c,,,e,b,,k,b,p,p,,,,,y,p,p
,,,,,,c,,,,,,,,,p,w,,,k,,,e
,,,f,,f,,n,,,?,,s,w,,,,o,,w,,d,p
,,,t,,,,,,e,,,,,e,,,,e,,,,e
f,f,g,,f,f,,b,,,,,k,,,p,,o,,,v,g,p
x,,w,f,,,,,n,,,,,,,,w,,,,,,p
f,,,f,,,c,b,,,,,k,,b,,w,o,l,,,,p
f,,n,f,s,,,n,,t,?,k,,,,,w,o,,,v,,p
x,,n,,,,c,,w,,b,,,,,,,,p,,,,e
,,w,f,n,,,,,,,,,,,p,,,e,,a,,e
,,,,,f,,,,,,,,g,,,,,,,,d,e
k,,,,,f,c,n,b,,,,,w,,,,,e,w,,,p
,,n,f,f,,,,,,?,s,,p,,p,,,,w,,l,p
,y,,,,,c,,,,,,k,,,p,,,l,,,p,p
,,,,,f,,b,,,c,s,,,,,w,,,,s,m,e
,,,,,,w,b,p,,e,,,w,,,w,o,,,,,e
,,y,,,,,,g,,,,k,,b,p,w,,,,,,p
,,,,,,,b,,,,k,,,,p,,o,,h,,,p
,,e,,,,,,b,,,s,,w,,p,,,e,w,,,p
,,,,,,,b,g,,?,,,,,,w,,p,w,,,e
,,,,,,,b,k,t,,,,,,,,o,,,,,e
,,,,,f,,b,,,,,,,,p,w,o,p,,,,e
,,n,,,,c,n,,,,,,p,p,,,,e,w,,,p
f,,g,,f,f,,,,,,,s,,,,w,o,,,s,u,p
,,,,,,c,,b,,,s,,w,,,,o,e,,v,,p
,,,,,f,,,,t,,,,,,,,,,,,l,p
,,,,y,,c,,b,,,,,,,p,,,e,w,,,p
f,f,g,,n,,w,,n,,,,,,,,,o,e,,,,e
k,,e,,,f,,,,,,s,,,,p,,o,e,,,,p
x,f,,,f,,,,,,b,,,,,,,,,h,,,p
f,,g,,,,c,b,w,,,,,,,,,,,,y,,e
f,,e,,y,f,,n,,,,,,,w,,,,,w,,p,p
,,,f,,,,,,,,,,w,w,p,,o,,k,a,g,e
,,,t,n,,,,,,b,s,,,w,,,,,,y,,e
,,,,,,c,,,,,,,,p,,,o,,n,,d,e
k,,,f,,f,,,,,?,,,p,p,,,,,,v,p,p
,s,,,s,f,c,,,t,,,s,,,,,,e,w,,,p
,y,,,s,,,,b,t,,,,,,,w,,e,w,v,,p
,y,,,n,,c,,,,,,,,g,,w,,p,,y,,e
,,e,,f,f,,,,,,,,,,p,w,,,w,,l,p
,f,,,n,f,,,,,,,,,g,p,,,,,,,e
,,,,,,,,,,,,,,,,w,,,,s,,e
x,,,,,,,n,,,?,s,,,p,,,,,,,,p
,,,,,,,,,,,,,w,,,,,e,w,v,,p
,,,f,n,,,,,e,,s,,,,,w,,,,,,e
,y,g,,,f,,,,e,b,k,,,,p,w,o,,,v,p,p
,,,,,,c,b,w,e,c,,,w,,,,,p,,s,m,e
k,s,,f,,,c,,b,,,k,,,,,w,,,,,p,p
f,s,w,,n,,w,,,,,s,,,,,,,,,,g,e
,,,,,,,,p,e,,k,,n,,p,,,,,y,d,p
,y,,,,f,c,,n,,,s,s,,,,w,,,k,,,e
,,,,,,,,,,,s,s,,g,p,w,,p,,,d,e
,,,t,,f,,,g,,,,,w,,p,,o,,,s,,e
,,g,,f,,,,,e,,,,,,p,,o,,h,,,p
x,,w,,n,f,w,,n,t,,,,,,,w,,,k,a,g,e
f,,,t,,,w,n,,,,,,,,p,w,,,,,,e
x,f,,,,,,b,,,b,,,,,,w,,,h,,,p
,,u,f,,,c,,h,,?,,,w,,p,,o,,,,,e
,f,n,,n,,,,,,,,,,,,,o,p,,v,,e
,,,,c,,,n,,,,s,s,,,,,,,k,,d,p
x,s,,,,,,,,t,,,,w,w,p,,,,,,,p
,,,,,f,w,,,t,,,,,w,,,,p,n,v,,e
x,,n,,,f,c,,,t,,,,p,,,,,,w,,,p
,s,,,,,w,b,,,,,s,,w,,,o,,,,,e
,,,t,n,,,b,,t,,,s,,,,w,o,,,v,d,e
f,,,,,,,b,,,,,,p,n,p,,,,,,g,p
,y,,,l,f,,,,,,,,,,p,w,o,,,,,e
,y,y,,,,,,,,,,,,w,,w,,,,,,e
x,,,,n,,,b,w,t,b,,s,,,p,,o,,,,,e
,,,,f,,,,g,,,,,n,,p,,,,h,,,p
f,,,,,,,,w,,,s,,w,w,,,,,,y,p,e
,,,,,f,,,b,t,,,,,,p,,,,,,,p
,,,,,,,n,b,,,,,,,,,,e,,,,p
,,,,,,,,b,,?,,,w,p,,w,,e,w,,l,p
,,e,,y,,,n,b,t,,k,k,,w,p,,,,,,,p
,,,,f,f,c,,h,e,,,,b,,,,,,,,p,p
,,b,,,f,c,b,,,,,s,w,,p,,,p,,,,p
f,,,t,,f,,,,e,,,,,,p,,o,,n,,,e
,,,,,,,,,,,k,k,,,p,,,,h,,,p
,f,,,,,,,,,,,,,,p,,,,w,,g,e
f,s,,f,n,f,,b,k,,e,,s,,w,p,w,,,,,g,e
,,,t,,,,,,,,s,,,,,w,o,,,v,,e
,,e,,,,,b,u,,b,,,,,,w,o,p,,v,,e
,,,,,,c,n,,t,,,k,,w,p,w,o,e,,v,,p
,f,,,,f,c,b,,e,,,,,n,p,,,l,,y,,p
,,g,t,,,,,,t,,,,,g,p,,,p,,y,d,e
,,,,p,,c,,,,,,s,w,w,,,,,n,,,p
,,g,,,,c,b,p,,b,s,,,,,,,p,,v,,e
x,,,f,,,c,,,,,,,p,,,,,,,v,,p
,s,,,,,,,,,,f,,,w,,w,,e,,,g,e
,,,,,,c,n,b,,,,,,w,,,,e,,,,p
,,,,n,,,,,,,s,s,,,,,,,,,,e
,,,,,f,,n,,,,k,,,,,w,o,,,,d,p
,y,,,n,,,,,,,s,s,w,,p,w,,,k,,,e
,,,f,,f,c,,,,,,,,,,,o,,w,v,,p
f,y,y,f,,f,,b,p,,,,,,,,,,l,h,y,,p
,,g,,,,c,b,,,,,k,,p,,,,,,v,p,p
b,f,w,,,f,,b,,,,s,k,,,p,w,t,p,,n,,e
,,n,,n,,,b,,,e,,s,,w,p,w,,,,,,e
,,e,,,,c,b,,,,,s,w,,,,o,p,,,,e
f,,b,,f,,c,b,,,b,,s,,w,,,,,,v,,p
,,,,n,,w,,,,,,s,w,,,,,,,,,e
,,,,,,c,n,b,t,,,,,,,w,,e,,,,p
,,,,,,,b,,,?,,,,,,,,,,n,,e
,f,e,,,,c,,,,,s,s,w,,,,,,,y,,e
,,,,,,c,,,,,s,,,,p,w,,,,,,e
f,,,,,,,,w,,,s,,,,p,,,,,v,,e
,,,t,,f,,,,,c,,,,w,p,w,,,n,s,g,e
,,,t,,f,,,,,,,,w,,,w,o,,,,d,e
x,y,g,,,,,b,,,,s,s,,,,,o,p,,,,e
,y,,f,,,,,,,,,s,w,w,,w,,e,,,p,p
,,,,,,,,,,,,,w,,,,,,,,,e
,y,,t,,,,b,n,,r,,,w,,,w,,p,n,,g,e
,,n,t,l,,c,b,,e,,s,y,,w,p,,o,,n,,,e
x,,w,,,f,w,,,,,f,,w,,p,,,,,,,e
,,,t,,,,,n,,b,,,,p,,w,,p,,,d,e
x,,,,,,,,,,,s,s,,p,,,,,,,,e
,,,,,,,b,h,,,,k,b,,,w,,,h,,,p
,,n,f,,f,c,,,,?,,,,,p,,o,,w,v,,p
,,,,,f,c,n,b,,,,,,,p,,o,,,,,p
,,,,,,c,b,,,,,,,,p,,,,,,,p
,,,,,,,,n,t,b,,s,,p,,,,p,,,,e
,,,,,,,b,,e,c,,,,,p,w,,,,,,e
f,,,,,,c,,,e,,,k,b,,p,w,,,,,,p
,,,,,,,,p,e,,,,,n,p,w,o,,,,,p
x,,,,,,c,,,,,,s,,,,,,,,,d,e
x,,n,t,,,,b,n,t,b,,,,,,,,p,,v,,e
,s,g,,n,,w,b,,,e,,,,,,w,,,n,,g,e
,,,f,,,c,,,e,b,,,n,p,,,,,h,,,p
,,,,,f,,n,,,,,,w,w,,,,,,,d,e
x,,,,,,,,,,b,,,p,w,,,o,,n,,d,e
,,,,,f,,,,,,,s,w,,,w,,,k,,,e
,,,,,f,,,,,,,,,,p,,o,e,,,,p
,s,,,,,,n,b,,,s,,,p,,,,,,,,p
,f,,,,f,,,,,,,,,,,,,,,v,,p
f,,,f,n,a,,b,,,,,,,o,p,n,o,p,,,,e
,f,n,,,,,b,,,b,,s,,p,,,,p,,,,e
f,s,,,,,,,b,t,,k,,p,,p,,o,e,,,p,p
,s,,f,s,f,,,,,,,,,,,,,,w,,,p
x,y,,,f,f,,b,,,,k,k,,,,w,,,h,v,,p
,,,,,f,,,,t,,,,,,,w,,,,,,e
x,,,,,f,,b,p,,,k,k,n,p,p,,,,h,,,p
,,,t,,,c,,,,,,s,,w,p,,,,,,,e
x,,e,,n,,c,,n,,,,s,g,,,w,,,,y,,e
,,,,,f,,,,t,,,,,,,,o,,,,,e
,f,y,,,f,,,,e,b,,k,,n,,w,,,,,,p
,,,,,,,,,,,,s,,,p,w,,,,,,e
,y,e,,,,,n,b,,,s,,p,,,,,,,,d,p
x,,g,,f,f,c,,,,,k,,b,,,,,,h,,,p
,,,,,,,,,,,,,,,,w,o,l,,v,,p
x,,,,,f,,,,,,s,,,w,p,,,,k,s,,p
,,,,,,,b,k,,,,,,w,,,,,,a,g,e
x,y,,,,,,,g,,b,,k,,,,,o,,h,,,p
,f,,,,,c,,,t,,,,,,p,,,p,k,y,,e
,,,,,,,,w,,,s,,w,w,,w,t,,,,w,e
,,,,,,,,u,,b,,,,w,,,,p,,v,,e
,,,,n,,,,p,,b,,,,,,,,p,n,,d,e
,,g,t,n,,c,,,,,s,,w,,,,,,,y,,e
f,,,,s,,,,b,t,,,k,w,w,p,,o,,,v,,p
,,,,y,f,,n,,t,,,,,,,,,,w,v,,p
x,y,,,,,,,w,,c,,s,w,,,,o,p,,n,,e
x,f,,,,,,,n,,,s,s,,p,,w,o,,,,d,e
,,,,,,,,w,,,,,,w,,,o,p,n,,g,e
,s,,,,,,,b,t,,,,,,,,o,,,,,p
,y,,,,,,,,,,,s,w,w,,,,,,n,,e
k,,e,,,f,,,b,t,?,,,,w,,,,,,v,,p
,,,,n,,,,,,,,,w,,,,o,,n,,,e
,,,,,f,,b,,t,e,,,w,w,,,o,,,a,,e
,,,,,f,,b,,,,,,,,,w,,,,y,,p
,f,,,,,w,,,,,,,,,p,,,p,,n,,e
,,n,,,f,,,,,,,,,,,,o,e,n,,,e
,,y,,,,,,,,,,,n,,,,,,,,d,p
x,f,,,,,,b,p,,,,,,,,,,l,,,,p
x,,,,,,,b,h,e,b,,,,n,,,,,,v,d,p
,y,,,,,,,b,,,k,,,,,w,o,,w,,l,p
,,,,n,f,,b,p,,b,,,,,,,,,,y,,e
,,w,,,f,,b,,e,,,,,,,,,,,,,e
,,w,,,,,b,w,,,,,,w,,,,,,,u,p
,y,,,,,,,,,,,,,b,,,,,h,y,,p
,,,t,n,,,,,,b,,,,,,,,,,y,,e
f,,,,n,,,,,,,s,s,,,,,,p,n,,u,e
x,,,t,,,,,,e,e,,s,,,,,o,p,,,,p
,,e,,,f,c,,,t,,,s,g,,,w,,p,,v,,e
f,y,,f,,,c,,,e,,,k,p,p,p,w,,l,,y,d,p
x,,,,,,,n,,e,,,,,,p,w,,,n,,u,p
,y,y,f,,,,,,e,,,,n,,p,w,,l,,,,p
,y,e,,,,,,,t,,s,,,w,p,,,p,k,y,d,e
f,,,f,,,,,,,?,,,,,,,o,,w,v,,p
,,,,f,f,c,,,,,,,,,p,,,e,w,v,,p
,s,,f,,,c,,b,,,k,,,,,,,,w,,p,p
,,,t,,,,b,p,t,b,,,,,,,,,,,,p
,s,g,f,,,,,p,t,e,,,w,w,p,w,o,e,,,,e
,,,,,f,,b,,,b,,,p,,p,,,p,,,d,e
,,,f,f,f,c,,,,,k,k,,b,,,o,,,,,p
,,,,,f,,n,b,t,,k,,,,,,o,,,v,,p
f,y,,t,l,,,,n,,,,y,,w,,,o,p,,,,e
,,,,,f,c,n,b,,,,s,p,p,p,,,,,v,,p
,,e,,,,c,,,,,s,,,,,,o,,,,p,p
,,,,,,c,,w,e,c,,,,c,p,w,n,,,,,p
,,,,,,c,,,,b,,s,,,,,,,,,d,e
,,g,f,,,,,,,b,,,,,p,,,,h,v,,p
,,w,t,,f,c,,k,e,,,s,,,,,,,k,,,p
,,,t,,f,,,n,,e,,,w,,,,,,,,,p
,,g,,,,,,,,,s,,,w,p,w,,,n,,,e
x,y,,,,,,,,,,,,,,p,,,,,v,,p
,,,,,,c,,p,,,,s,w,,,,,,n,y,,e
,,n,,s,,,n,,,,,s,,,,,,,,,,p
f,,,,s,,,,,t,?,,,,,,w,o,,,,p,p
k,,,f,,f,c,,,t,,,,,,p,,o,,,,,p
,,n,t,,,,,,,,,s,,,p,,,,,y,,e
,,,,,,c,,u,,,,,,,p,,,,,,d,e
,,,t,,,,,,,,,f,,,,,,,h,,,p
x,,,,,f,c,n,,,?,s,k,,,,w,,e,,,d,p
,,w,,,f,w,,p,,b,s,s,w,,p,,o,,n,,d,e
,,,f,,,,n,,,?,,,,,p,,,,,,,p
,,y,,f,,,b,,,,,k,,,,w,,l,,v,d,p
f,,g,,,,,,,,,,,b,,,,,l,h,,p,p
,,,f,,,,b,,,b,,k,,p,,,o,,h,,g,p
f,,,t,,,,,,t,b,,f,,,p,,o,,,,g,p
,f,,t,,f,,,,,,s,s,,,,w,,,,,d,e
,,,,,,,,,,,,,,,,,o,p,,y,,e
,,,,l,,c,,g,e,c,,,,,,,,,,,m,e
x,,,,,f,,n,,,,s,,,p,p,,,e,,,,p
,,e,,y,,,,,,,k,,w,,p,,o,,,,d,p
,,e,,,f,c,,n,,,s,,,g,,,,p,,,d,e
,f,n,t,,f,c,,,t,b,,,,,,w,,,,,d,e
,,,,,,c,,p,,,,s,,,,,,,,s,g,p
,,,,n,,c,,,,b,,,,,,,,p,k,,,e
,,,t,a,f,,,,,,,,,w,,w,o,,,s,,e
f,f,e,,n,,,b,,,b,,,,,,w,o,,,,,e
,,,,a,f,,,n,,c,s,s,w,,,,o,,,s,,e
,,,,,,w,,,,,s,,,,,,o,,,,,e
,,,t,,f,,b,,,,,,,p,,,,p,k,,,e
,y,,,,,,,,t,,,,,p,p,w,,e,,,,p
x,y,e,,n,,,,,,,,,e,,p,,t,,,c,,e
,,b,t,,,,,,t,,,,,,,,,,,s,g,p
x,,,,,,,b,,,,s,,,,,w,,,,,,e
,,,,,,,,,e,b,,,w,,,,,,,,d,p
,,,,,f,,,,,e,,,,w,p,,,,,,g,e
,,g,,,,w,b,,t,,s,s,,,,w,,,k,a,g,e
,,,t,,f,c,,,,c,s,,,w,,,,,k,,,e
,y,,,,f,,b,w,,b,,,g,,,,o,,n,y,,e
,,,,l,f,c,,,,c,s,,w,,p,w,o,,n,,m,e
,,,f,,,,,,,?,,,,,p,,o,,,,,p
,f,,,,,,,,,,,,,,,,,,,v,,e
,,w,f,n,,,b,,,,,,w,w,,,o,,,a,g,e
,,,f,f,f,,,,t,?,,s,,,p,w,,e,,v,,p
,s,,f,,f,,,b,t,?,k,,,,p,w,,,,v,,p
f,,,f,,f,,,b,,,,k,,p,,,,,w,v,d,p
,,e,,y,f,c,,,,,,s,w,,p,,,e,w,v,,p
,,e,,,,,n,,t,,,,,w,p,,o,,w,v,,p
,,n,,,,,,,e,r,,,w,,,,,p,k,,p,e
,,n,t,,,,,w,,,s,y,,,,,,p,,,,e
,s,y,,,f,,,,e,c,,,,,p,,,p,,,g,e
k,,,f,,,,,,,,,,p,,p,,,,w,,,p
,f,,,,,w,,,,,,,w,,,,o,,n,,,e
,,,t,,,,,,,b,,,,,,,,,,v,d,e
,y,,,n,,c,,,,,s,f,w,,,w,o,,,y,d,e
,,n,,,,c,,,t,,,,,,,w,,,n,,d,e
f,y,,,,,c,,,e,,,,n,,,,,,,,,p
f,,,,,,,,,,b,f,,,,p,,,p,h,,,p
,f,g,,,,,,,e,,k,,,b,,,,,,,,p
k,,,t,n,f,,,,,,,,,,,,t,e,,,,e
x,,,,,,,n,,,,,k,p,,,,o,e,,,d,p
x,,e,,n,f,,,,,,s,,,,,,,p,,,,e
f,,,,,,,,,,,,,,,,,,,k,v,,p
f,y,,,,,c,,n,,,,,,,,,o,,n,,,e
,y,,,,f,,,b,,,,,,,,,,e,,,,p
,y,g,,,,c,b,h,e,,,k,,p,,w,o,,h,,,p
,,,,p,,,,,e,e,,,,,,w,,,,,,p
,,,,,,,,,,,k,,w,,,w,t,p,w,s,,e
x,,,t,n,,,,,,,s,,,,p,w,,,n,,,e
,,w,t,f,,,b,,t,b,f,,w,,,w,o,,,,,p
x,,,,c,f,w,,u,,,,s,w,w,p,w,,p,k,,,p
x,,,f,,,,,,,?,,,,,p,,t,,,,,e
,,,,,f,c,,g,,,,s,,w,,,,p,,n,,e
,,,t,p,f,c,,,,e,,s,w,w,p,,,,,v,,p
,,g,,,,,,p,e,,,,w,w,,,t,,w,,,e
,,,,,,,b,u,,,,,,,,,o,,n,y,,e
,,,,,f,c,,,,,,,,,,,o,p,,,,e
f,f,,f,,,,,,t,e,f,,w,,,,,e,,,,e
k,,,,,f,,,,,?,k,,,,,,,e,,v,,p
x,,,,,,c,,u,,b,,s,g,g,,,,,,,d,e
,s,,f,,,,,b,,?,k,,,,,,,,,,,p
,y,,,,,,,,e,,s,,,,,,,p,,n,,e
,,,,n,,,,w,e,,s,k,w,,p,w,t,,w,,,e
x,,,,n,,,,,,,s,,,,,,o,e,,,,e
,y,,,,,,,,e,,s,,,w,,,,,k,,,e
,,,f,,f,c,,,t,?,k,,,,p,w,o,e,,,l,p
,,,,,f,,,,,,,k,,,p,,,,h,,,p
,,,t,,f,,,p,t,,,,g,,p,w,,,,v,,e
,,g,f,,,,,,,e,f,,w,,,,o,,,,g,e
,s,,,,a,c,b,y,,,s,,,,,,,,n,c,l,e
f,,,,,f,,,,t,,,,w,,,w,o,,w,,p,p
k,,g,,n,,,,w,,,k,s,,,,,t,,w,,g,e
,f,,,n,f,,,,,,s,s,,,,w,o,e,,,g,e
f,y,,,,,,b,,,,s,,,,,,,,,,,e
,,w,t,,,c,,,,,s,s,,,p,,o,,n,s,g,e
x,f,,t,,,,b,,,,,s,,g,p,w,,,n,y,,e
,y,n,f,f,,,n,,,,k,,,,p,,,,w,v,,p
,f,,,,f,,,h,t,,f,f,w,,,,,,n,,,e
,s,n,f,,,c,b,,e,,s,s,,,,n,o,,y,,,e
,,n,,,f,,b,,,,s,,p,,,,,,n,,d,e
,,,,,,,n,,t,?,,,,,p,,,,,,,p
,,,f,,,c,b,,e,b,k,,,,,,,,h,y,,p
,y,n,,s,,,,b,,,,,,p,,,,,,,,p
,,,,s,,c,n,,t,?,,,,,p,,,,,v,,p
,,,,p,,,,,e,,s,s,,,,,o,,,,,p
f,y,,t,n,,,,,t,,,,,,,w,,,,,d,e
,,,f,,,,,,,,,,,,p,,t,,,n,,e
,,n,f,f,,,n,,,?,,k,w,w,,w,o,,w,,,p
,,,,f,,,,,,b,,,,,,,,l,,y,g,p
,,,,,f,,,,,,,,p,p,,,,,,,p,p
,,e,,s,f,c,,,,?,k,,,p,,,o,,,,,p
,,y,,,f,,b,,,,s,,w,w,,,,,,,,e
f,y,,,p,,,,,,,,,,w,p,w,,p,,,,p
,f,g,,f,,c,,,,b,,k,,,,,,l,h,,g,p
,,c,,,,,,,,,,,w,,p,,,,w,v,l,e
,s,,f,,,w,b,,t,e,s,,,,,w,,,k,,,e
,f,,,n,,,b,,t,b,,,,,,,,p,k,y,,e
,f,,,,f,,b,,,b,,k,,,p,,,,,,,p
,,,,,,,,,,,,,,p,,,o,,,v,,p
,,,,n,,,b,p,t,,,,,,,,o,,,,g,e
,,,,,f,,,,,b,,,,,,w,,,h,,,p
x,y,,t,p,,c,,,,,s,s,w,w,p,,,,,v,,p
f,,,,,f,,b,,t,,,,,,,,,p,,v,,e
,f,n,f,,,w,,,,,,,,,p,,o,e,n,,,e
,y,,,l,f,c,,w,,,,,,,p,w,,,k,,m,e
,f,g,,,,,,,,b,k,,p,,,,,,,,,p
,,,,,f,,,,,?,,,w,w,p,,,,,v,,p
,,w,t,,,c,,g,e,,,s,,,,w,o,,k,,,e
,s,,,,,w,,,,,f,f,w,w,,,,,,s,,e
,,,,n,f,c,,p,,b,,s,,p,,,,,,,,e
,,,,,f,,,h,t,,,,,,p,w,o,,,,,p
,,,,n,,,b,,,,s,,,p,,,o,,,,,e
,,n,,,,c,,b,,,,k,,,,w,,,,,,p
,,,f,,f,,,,,e,,,w,w,,w,,,,,u,e
,y,,,f,f,,,p,,,,,p,,,,o,l,,,g,p
x,f,,,,,,b,,,,,,,,,,,,,v,,p
x,,,,,,c,b,,e,,,y,,,p,,,p,,y,g,e
,f,g,,n,,,,,,,,s,,g,,,o,,n,,,e
,,,,,,,,g,,b,,,,,p,,o,,,,g,p
,,,,n,,w,,k,,e,,s,,,,,,,,,g,e
,,,,,f,,,w,,,f,,,,,,o,,w,,,e
,s,w,,,f,,,,e,e,s,s,,w,p,w,,p,k,,u,p
,,,t,,,,,,,,,,,w,p,,,,,,,e
,,,,,f,,b,,t,,f,,,,,,,,,,,e
,s,,,n,f,,b,p,,,s,,w,,,w,,,w,,g,e
f,,,,f,,,,g,,b,k,,,,p,,o,,,,,p
x,,e,,,,,,,t,,,,,,,,o,,,,,p
,,g,,n,,,b,u,,,s,s,,g,p,,,,,,d,e
x,,,,a,f,c,,,e,,,,,,,,,,n,,,e
x,,,f,,,,,n,,,,,w,w,p,,o,,,,g,e
x,,b,,f,,c,,,,,,,,,,w,,,h,,u,p
k,,,,,,,n,,,,,,w,p,p,,,,,,,p
f,,g,,f,f,c,b,,,,k,,p,,,w,,,h,,,p
,,,,,,c,,,t,,,,w,p,p,w,,,,,,p
,,,,,,,,,,,k,,,,p,w,,,,,d,p
,,,,,,,,,e,,,,w,,,,,p,,,,e
,,,t,,,,,,t,b,,,,p,p,,,,,,,e
,,,,,,,,,,,s,s,,,,,,,n,,m,e
x,,g,t,,,,,u,t,b,,s,,,p,,o,,,v,,e
f,,,f,,,w,b,,,,,,,,p,,o,,,,g,e
,,,,,,,,,,,s,f,,,,w,,,h,,,e
,y,e,t,,,,,,,b,s,,w,w,,w,,p,,,d,e
,,,,,,,b,,,,k,,,,,,,l,,,,p
,y,,,,,,b,,t,,s,,,,p,,,,,y,,e
,,,,,f,c,,,,,,,,,p,w,,,,v,l,p
,,,,,,c,b,n,,,,s,,,p,,o,,,,d,e
,f,,,,,,,h,,,,,,,,,,l,,,,p
,y,,,f,f,c,b,,,b,k,k,n,,p,,,,,,,p
x,y,,t,,,,,g,,,s,,,,,w,o,p,k,,,e
,,,f,f,,c,,,e,,k,,n,,p,,,,h,v,,p
,,,t,l,,,b,,,r,,,,,,,,,n,s,p,e
,,,,s,,,n,b,t,,s,,,,,,,,,,,p
,y,,,,,,,,,,,,w,w,,w,,,w,,d,p
,,,,,,,,,,,,,,p,p,,,,,,d,p
,y,,,,f,,,,e,,s,s,,,p,w,o,p,,s,,e
,s,w,,,f,,,p,,,,,,w,p,w,,p,h,,,p
,,,,n,,,,,,,s,,w,,,w,,p,w,,,e
,,,,f,f,,,w,t,,,,,,p,,,p,,,,p
,,g,,,,w,,,t,e,,,,,,w,,,,a,,e
,y,e,,f,f,c,n,b,t,,,s,,,p,w,,,w,,,p
,,,f,,,,n,,,,k,,,,,,o,,w,,,p
,,b,,,,c,,p,,,s,,,,p,,,,h,v,,p
f,,,,p,f,,,,,e,,s,,,,,,,,s,,p
x,f,,,n,,,,u,t,,s,s,,,p,,o,,,,,e
,f,p,,,,c,,,,,,,,,p,,,,,,,p
x,,,,,,,b,p,e,,k,,,b,,w,,,,y,d,p
x,,n,,,f,,,p,,,,,w,w,p,w,,p,,,,p
f,,,f,,f,c,,,,,s,s,,p,p,,,e,,,p,p
,,e,,,f,c,,,t,b,,s,,w,p,w,,,,,d,e
f,y,n,t,,,c,n,,,,s,,,,,w,o,,,,,p
x,,,,,f,c,,b,,,,,p,,,,,e,,,p,p
,s,,,,f,,,,,,,,w,,,w,,,,,,p
,,,,f,,c,,h,,b,k,,,,p,w,,l,,,p,p
f,,,,f,,,,,,b,,,,,,,,,,,,p
f,,y,,,f,,,,,r,,,,,p,,,p,,,p,e
,,,,,f,,b,,e,,,,,,,w,,,n,s,,e
x,s,,f,,,c,n,u,e,b,,s,,w,,w,,p,,s,,p
k,,n,f,f,,,,b,,?,s,,w,,p,w,,,w,v,p,p
,,,t,,,c,,,t,,s,,,,,w,o,,,,d,e
,y,,,,,,,h,,b,k,,p,,p,,,l,,,d,p
f,,b,,,f,,b,,t,,,,,w,,,,p,,,,p
,,e,t,,,,b,,t,,,s,,,,w,o,,k,,,e
,y,,t,,f,,b,w,t,b,,,,,,,,p,,,,e
,,,f,n,f,,,,,,,s,,w,,,,,,,,e
,y,,,,f,c,b,,,,,k,,n,,,o,,,,g,p
x,,,f,,,c,n,b,t,,,,,p,,,o,e,,,,p
,,e,,,,,,,,?,,s,,e,p,,,,w,c,,e
,y,,,,f,,b,,,,,,,,,,,,,v,,p
,,,,n,,,b,,,,,s,,,,,o,,k,,,e
x,,n,,,f,,,,,r,,,,,,,o,,n,,,e
,,,,,,,b,p,t,,,s,,,,w,,p,k,,,e
,,n,,,f,,b,,,b,,s,,,,w,o,,k,y,,e
,y,,,,,,,,,,s,,,p,,,,,w,,p,p
,,,f,,f,,,,,,,,,w,,,,f,h,v,,e
,,,,,,c,,n,,b,s,s,p,,,,,,,,d,e
x,,g,,f,,,b,,e,,,,,n,p,,,,,y,,p
,s,,,p,,,,,e,,s,,w,w,p,w,,,,,,p
f,y,,,,f,,,p,,b,s,,,,,w,,p,,,,e
,,g,,,,c,,p,,,,,g,,,,,,,,,e
,,,,,,,,,,,,,,,p,w,o,,,,d,e
,,,f,,,,,,,,,,w,,p,,,,,,,p
f,,,t,f,,,b,p,,,,,,w,p,,o,p,,,,p
x,s,e,f,,,c,,b,,,s,,,,p,,o,,,,,p
f,,,,,f,,,,,,,k,p,p,,w,,l,,,,p
f,,,,,f,c,b,p,,b,,,g,g,p,,o,,k,,,e
,,y,,a,,,,,,,,,w,w,p,,,,k,,g,e
,s,n,,,a,,,n,,,,s,,o,,,,p,b,,,e
,,,f,,f,c,b,,e,b,,k,,p,,,,,,v,g,p
,y,,t,,f,c,,g,,b,s,,w,,,,t,,r,,g,p
,s,,f,,,c,,,t,?,,k,,,p,w,,,,,,p
,,n,,y,,,n,,,?,,k,,,,w,,,w,,p,p
,,,,s,,,,b,,,,,,,p,,,,,v,,p
