cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
k,s,n,f,s,f,c,n,b,t,?,,s,,w,p,w,o,e,w,v,d,p
x,,g,t,n,f,c,,w,t,b,s,s,w,p,p,w,o,p,k,y,,e
,y,g,t,n,f,c,b,n,t,b,s,s,p,,p,w,o,p,k,v,,e
f,s,e,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,,w,,p,p
x,y,g,t,n,f,c,b,,t,b,s,s,p,g,p,w,o,p,k,v,,e
k,s,e,f,f,f,,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,p
x,y,b,t,n,f,c,b,,e,?,s,s,w,w,p,w,,e,w,c,w,e
x,y,e,t,n,f,c,b,u,t,b,s,s,p,,p,w,o,p,n,y,d,e
x,y,y,f,f,f,,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,p
x,y,e,,y,f,c,n,,t,?,k,k,w,p,p,w,o,e,w,v,d,p
x,f,g,f,f,f,c,b,,,b,k,,b,b,p,w,o,l,h,,p,p
f,s,n,f,f,f,c,n,b,t,,k,k,p,w,,,o,e,w,v,l,p
x,y,e,,s,f,c,n,b,t,?,s,k,,w,,w,o,e,w,v,d,p
x,y,y,t,l,f,c,b,,e,c,s,s,w,w,p,w,o,p,n,n,m,e
,,g,t,n,,c,b,u,t,b,s,s,,p,p,w,o,p,n,y,d,e
k,f,w,f,,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,s,g,e
x,f,p,f,,f,c,n,n,e,b,s,s,w,w,p,,o,p,n,s,d,p
,s,w,t,p,f,c,n,n,e,e,s,s,,w,p,w,o,p,,s,g,p
f,,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,,e
f,s,b,t,f,f,c,b,,t,b,,,w,w,p,w,o,,h,v,u,p
x,,n,f,y,f,c,n,b,t,?,s,s,,p,p,,o,e,w,v,l,p
x,s,e,f,y,,c,n,b,t,?,,s,w,p,p,w,o,e,w,v,,p
f,y,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,e
f,s,,f,n,a,c,b,o,e,?,s,,o,o,p,n,o,p,o,v,l,e
f,y,e,t,n,f,c,,,t,,s,s,p,g,,w,o,p,k,y,d,e
,s,g,f,n,f,w,b,k,,e,,f,w,w,p,w,o,e,k,a,g,e
f,,y,t,l,f,w,n,p,t,b,,,w,w,p,w,o,p,u,v,d,e
x,f,w,f,n,f,w,b,n,,e,f,f,w,w,p,w,,e,k,s,g,e
x,s,n,f,y,f,c,,b,t,?,s,k,w,w,,w,o,e,w,v,l,p
x,y,e,t,n,f,,b,u,t,b,s,s,p,g,p,,,p,k,v,d,e
s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,,w,,p,k,,u,e
,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,,h,y,g,p
x,y,y,f,f,f,c,b,h,e,b,k,k,,n,p,w,o,l,h,v,p,p
x,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,,e,n,a,g,e
b,,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,,m,e
,f,g,f,n,f,,b,,t,e,s,f,w,w,p,w,o,e,n,a,g,e
,,e,,n,,c,,w,t,b,s,s,p,g,p,w,o,p,k,v,d,e
x,y,,f,f,f,c,b,h,e,b,k,k,n,,p,w,o,l,h,y,g,p
k,y,e,f,,f,c,n,b,t,?,s,k,p,,p,,,e,w,v,p,p
f,y,g,f,f,f,c,,p,e,b,k,,b,p,p,w,o,l,h,v,p,p
f,s,g,t,f,f,c,,h,t,b,s,s,w,w,p,w,o,p,h,s,g,p
x,y,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,e
f,f,g,,n,f,c,b,n,t,b,,s,w,,p,w,o,p,n,v,d,e
k,s,e,f,y,f,c,,b,t,?,k,k,p,w,p,w,o,e,,v,,p
x,,,,,f,c,n,b,t,?,k,k,w,p,p,,o,e,w,,p,p
b,s,y,t,a,f,c,b,w,e,c,s,s,,w,,w,o,p,n,s,,e
f,s,g,f,n,f,w,b,,,e,f,,w,,p,w,o,e,n,s,g,e
f,y,y,f,,,c,b,p,,b,k,k,n,,,w,o,l,h,y,d,p
k,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,o,c,l,e
x,y,n,f,y,,c,n,b,t,?,s,k,p,w,p,w,o,e,w,,p,p
f,f,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,,e
x,y,,f,f,f,c,b,p,e,b,k,k,p,n,,w,,l,h,y,p,p
x,s,w,f,n,f,w,b,p,t,e,s,s,,w,p,,o,e,k,s,g,e
b,,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,,m,e
k,,e,,y,f,,n,b,t,?,k,s,w,w,p,w,o,e,w,,d,p
k,y,e,f,s,f,,,b,t,?,k,k,p,p,p,w,,e,w,v,l,p
k,s,e,f,y,f,c,n,,t,?,s,s,p,p,p,w,o,e,w,v,p,p
f,f,e,t,n,f,,b,n,t,b,s,,g,p,p,w,o,,n,v,d,e
b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
,y,n,t,p,,c,n,w,e,e,s,,w,w,p,w,o,p,,s,g,p
x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,e
x,,g,f,,f,c,b,h,e,b,k,,p,p,,w,o,l,h,v,g,p
f,f,e,t,n,f,c,b,,t,b,,,p,g,p,w,o,p,k,v,d,e
x,y,y,f,f,f,c,b,,e,b,k,k,,b,p,w,o,l,h,v,g,p
f,f,,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,,p,p
f,f,,t,n,f,c,b,n,t,b,s,,,,p,w,o,p,k,v,d,e
f,s,n,f,,a,c,b,o,e,?,,s,o,,p,o,o,p,,v,l,e
x,y,g,f,f,f,c,b,h,e,b,k,,p,,p,w,o,,h,y,p,p
f,f,n,t,n,f,c,b,n,t,b,s,,p,,p,w,o,p,k,v,d,e
f,y,e,f,s,f,c,n,,,?,s,,p,w,p,w,,e,w,v,p,p
f,y,g,f,f,f,c,b,,e,b,k,k,,b,p,w,o,l,h,y,p,p
b,s,p,t,n,,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m,p
,s,,f,f,f,c,,b,t,?,s,k,w,w,p,w,o,,w,v,p,p
,y,e,f,f,f,c,n,b,t,?,,k,p,p,p,w,o,e,w,v,p,p
x,y,n,,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,e
k,s,n,f,n,a,,b,n,e,?,s,s,o,o,p,n,,p,o,v,l,e
x,s,,,,f,c,b,k,e,c,s,,w,w,p,,o,p,k,n,m,e
x,f,n,t,,f,c,b,n,t,b,s,s,p,,p,w,o,p,k,v,d,e
f,y,g,t,n,f,c,b,u,t,,s,s,g,g,,w,o,p,,y,d,e
f,f,e,t,n,f,c,b,w,t,,s,s,w,g,,w,o,p,n,v,d,e
x,y,g,f,f,,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,p
f,y,n,t,,f,c,b,w,t,b,s,s,w,g,,w,o,p,k,v,d,e
f,s,e,f,f,f,,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,p
f,s,w,t,p,,c,n,w,e,e,s,s,w,w,p,,,p,n,s,g,p
f,f,,t,n,,c,b,,t,b,s,s,,w,p,w,o,p,n,y,d,e
f,s,w,f,n,f,w,,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e
,s,n,f,n,,c,b,o,e,,,s,o,o,p,n,o,p,y,c,,e
,y,y,f,f,f,c,b,p,e,,k,k,n,n,,w,o,l,h,v,g,p
b,y,w,t,a,f,c,,g,e,c,,s,w,w,,w,o,,k,s,g,e
f,s,w,f,n,f,w,b,p,t,e,,,w,w,p,w,o,e,k,s,g,e
f,y,y,f,f,f,c,b,p,,b,k,k,n,,,w,o,l,h,y,d,p
k,y,n,f,f,,c,n,b,t,?,s,,p,,p,w,o,e,w,v,l,p
f,y,n,t,n,,,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,e
,f,g,f,,f,c,b,h,,b,k,k,n,p,,w,,l,h,v,d,p
f,s,b,t,n,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,,e
,y,e,t,n,f,c,b,w,t,b,,s,p,w,p,,o,,,v,d,e
f,y,u,f,,f,c,n,u,e,?,s,f,w,w,p,w,o,f,h,v,d,e
f,f,n,t,n,f,c,b,n,t,,s,s,w,g,p,w,o,p,k,v,d,e
f,s,w,f,n,f,w,b,p,t,e,,f,,w,p,w,o,e,k,s,g,e
f,s,g,t,f,f,c,b,w,t,b,f,s,w,w,,w,o,p,h,v,g,p
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
f,s,e,,y,f,c,,b,t,?,s,s,,p,p,w,o,,w,v,p,p
x,f,,,n,f,c,b,u,t,b,s,s,w,w,,w,o,p,k,y,d,e
f,f,y,,f,f,,b,h,e,b,k,k,,b,,w,o,,,v,p,p
k,s,n,f,,f,c,n,b,,,k,s,w,p,p,w,o,e,w,v,p,p
k,s,b,t,n,f,c,b,w,,,s,s,w,e,p,w,t,e,w,c,w,e
k,y,n,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,,v,d,p
x,f,g,t,n,f,c,b,,t,b,s,s,p,w,,w,o,p,n,v,,e
x,y,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,e
x,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d,p
,f,,t,n,f,c,b,w,t,b,s,,,p,p,w,o,p,k,y,d,e
k,s,b,t,n,f,c,b,w,e,?,,,e,w,,w,t,e,w,c,w,e
f,y,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g,p
k,y,e,,s,f,c,,b,t,?,s,s,w,w,p,,o,e,w,v,,p
x,y,g,,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g,p
f,y,n,t,n,f,c,,p,t,,s,s,w,p,p,w,o,p,k,y,d,e
b,y,w,,l,f,c,b,g,e,c,s,,w,w,,w,o,p,n,n,m,e
x,,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p,e
x,y,,,,f,c,b,,e,b,k,k,b,p,p,,o,l,h,y,d,p
x,y,n,f,f,f,,n,b,t,?,,s,w,p,p,,o,e,,v,p,p
k,s,n,,s,f,c,n,,t,?,,,,p,,w,o,e,w,v,p,p
,y,n,,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,,e
x,f,y,f,f,f,c,b,g,e,b,k,k,,b,p,w,o,l,h,v,d,p
f,y,w,t,,f,c,n,w,e,e,s,s,w,w,p,w,,p,n,s,g,p
,s,n,f,n,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,d,e
f,s,w,f,n,,w,,h,t,e,f,s,w,w,p,w,o,e,,a,g,e
x,y,n,t,n,f,,b,w,t,b,s,s,w,w,,,,,k,v,d,e
x,y,e,t,n,f,c,b,u,,b,s,s,p,p,p,w,o,p,n,v,d,e
k,s,w,f,n,,w,b,p,e,?,k,k,w,w,p,w,t,p,w,,g,e
x,s,y,t,a,f,c,,n,e,c,s,s,w,w,p,,o,p,k,n,m,e
f,s,,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l,p
f,f,n,t,n,,c,,w,t,b,s,s,w,,p,w,o,p,,v,d,e
x,y,n,f,s,f,c,n,b,,?,k,s,p,p,p,,o,e,w,,p,p
k,y,e,f,y,f,,n,b,t,?,s,k,,w,p,w,o,e,w,v,l,p
f,,,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,e
x,,,t,n,,c,b,p,t,b,s,s,g,p,p,w,o,,k,v,d,e
,y,,f,,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l,p
f,s,,f,n,f,w,b,p,t,e,f,s,w,,p,,o,e,n,a,g,e
x,y,,f,f,f,c,b,p,e,b,k,,p,,p,w,o,,h,v,p,p
x,,g,f,,f,,b,g,e,b,k,k,p,,p,w,o,l,h,y,g,p
x,,n,f,s,f,c,n,b,t,?,k,,p,p,p,w,o,e,w,v,,p
b,s,n,f,,a,c,b,y,e,,s,s,o,o,p,,o,p,b,,l,e
x,f,y,f,f,f,c,b,p,e,,k,k,p,n,p,w,o,l,h,v,,p
k,s,w,f,n,f,w,b,p,e,?,s,k,,w,p,w,t,p,w,n,g,e
f,y,g,f,f,f,c,,,e,,k,k,,b,p,w,o,l,,y,g,p
,y,n,t,n,f,c,b,,t,,s,,g,p,p,w,o,p,k,y,d,e
x,y,,f,f,f,c,b,g,e,b,k,k,p,,p,w,o,l,,v,d,p
x,y,,f,,f,c,b,h,e,,k,,b,p,p,w,o,l,h,y,g,p
k,,e,f,s,f,c,n,b,t,?,k,s,,p,,,o,e,w,v,p,p
f,s,g,f,n,f,w,b,h,t,e,f,f,w,,p,w,o,e,n,a,g,e
x,y,n,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,,w,v,p,p
x,f,g,t,n,f,,b,n,,b,,s,p,g,p,w,o,p,k,y,d,e
x,,y,f,f,f,c,b,p,e,b,k,k,p,b,,w,o,l,h,y,,p
x,y,u,f,n,f,c,n,u,e,?,s,f,w,w,p,w,o,f,h,v,d,e
x,y,e,t,n,f,,b,u,t,b,s,s,,p,p,w,o,p,n,y,d,e
f,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,,p,n,v,d,e
f,f,g,f,f,f,c,b,g,e,b,k,k,p,,p,w,,l,h,v,,p
f,y,,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g,e
x,y,g,t,n,f,c,b,u,t,b,s,,p,p,p,,o,p,k,,d,e
k,,p,t,n,f,,b,,e,?,s,s,e,e,p,w,t,e,w,c,w,e
f,s,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,,,n,v,d,e
x,s,g,f,n,f,w,,p,t,e,s,s,w,w,p,w,o,,k,,g,e
,s,n,f,y,f,,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d,p
k,y,,f,f,f,c,n,b,t,,s,k,w,p,p,w,o,,w,v,,p
f,s,e,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,p
x,y,e,f,s,f,c,n,b,t,?,k,,p,p,p,w,,e,w,v,p,p
x,s,n,f,y,f,c,n,b,,?,s,,,w,p,,o,e,w,v,d,p
f,y,,t,n,f,c,b,w,e,?,s,s,e,w,,w,,e,w,c,w,e
f,y,n,t,n,f,c,b,w,t,b,s,s,g,p,p,,o,p,,y,d,e
b,,y,t,a,f,c,b,n,e,c,,s,w,,p,w,o,p,n,,g,e
x,s,w,t,l,f,w,,,t,b,s,s,,w,p,w,,p,u,v,d,e
,f,e,t,n,f,c,b,n,t,b,s,s,g,g,,w,o,p,k,y,d,e
f,s,w,t,f,f,,b,w,t,b,f,s,w,,p,w,o,p,h,v,u,p
x,f,g,f,n,f,w,b,p,e,?,s,s,w,w,p,w,t,p,w,,g,e
k,s,n,,,f,c,n,,,?,s,s,w,p,p,w,o,,w,v,d,p
x,f,e,t,,f,c,b,p,t,b,,s,p,g,p,w,o,p,n,y,d,e
f,,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,p
x,f,g,f,c,f,c,n,u,e,b,s,s,w,,p,w,o,p,n,s,d,p
k,y,e,f,,f,c,n,b,t,?,s,,w,w,p,,o,e,w,,l,p
x,s,g,f,c,f,c,n,g,e,b,s,s,,w,p,w,o,p,k,v,d,p
f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,,w,o,l,h,v,p,p
x,s,b,t,f,f,c,b,w,t,,f,s,w,w,p,w,o,p,h,s,g,p
f,,n,t,p,f,c,n,p,e,e,s,,w,w,p,,o,p,n,,g,p
f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,e
x,f,y,f,,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,p
f,y,g,f,f,f,c,b,g,e,b,k,,,n,p,w,o,l,h,y,g,p
f,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,,v,d,e
f,y,g,f,f,f,c,b,h,e,b,k,k,b,n,,w,o,l,h,,p,p
x,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,,n,y,,e
,s,n,f,f,f,c,n,b,t,?,s,s,w,p,,w,,e,w,v,d,p
k,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,,o,v,,e
x,s,w,f,n,f,w,b,g,e,,s,k,w,w,p,w,,p,,s,,e
x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,,o,,k,s,g,e
x,f,n,f,n,f,w,b,h,,e,s,s,,,p,,o,e,k,a,g,e
,s,p,t,n,,c,b,e,e,?,s,s,w,e,p,w,t,,w,c,,e
k,s,,f,n,a,c,b,o,e,?,,s,o,o,p,n,o,p,y,v,l,e
x,y,,t,p,f,,n,p,e,,s,s,w,w,p,w,o,p,n,s,u,p
x,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d,e
k,s,e,f,y,f,,n,,t,?,s,s,p,w,p,w,o,e,w,v,,p
x,,n,f,n,a,c,b,o,,?,s,s,o,o,p,n,o,p,o,v,l,e
x,f,n,f,n,f,w,,n,t,e,s,f,w,,p,w,o,e,,s,g,e
k,s,n,f,,f,c,n,b,,?,k,k,p,w,p,w,o,e,w,v,p,p
x,y,,f,y,f,c,n,b,t,?,k,,p,,p,w,o,e,w,v,p,p
x,s,n,f,,f,,b,k,t,e,f,f,w,w,p,w,o,e,n,s,,e
k,y,e,f,f,f,c,n,b,t,?,k,,w,p,p,w,o,e,w,v,l,p
,s,e,f,f,f,,n,,t,?,k,s,p,,p,w,o,e,w,v,d,p
f,y,,t,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w,e
f,s,n,f,f,f,,,b,,?,k,s,w,w,p,w,,e,w,v,l,p
x,y,n,f,y,f,c,n,,t,?,k,k,w,p,,w,o,e,,v,l,p
x,y,g,t,n,f,c,b,,t,b,s,s,g,p,p,w,o,p,n,y,d,e
b,s,w,f,n,f,w,b,p,e,?,s,k,w,w,p,,t,p,w,s,g,e
f,f,g,t,n,f,c,b,w,t,,s,s,,p,,w,o,p,k,v,d,e
x,s,e,f,s,f,c,n,b,t,?,k,k,,p,p,w,o,e,w,v,p,p
,s,w,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,v,g,p
x,s,n,f,s,f,,n,b,t,,k,s,w,p,p,w,o,e,,v,d,p
f,y,n,,n,f,c,b,n,t,b,s,s,w,w,p,,,p,k,v,,e
f,f,e,,n,f,c,,n,t,b,s,s,,p,p,w,o,p,k,y,d,e
f,y,e,f,f,,c,n,b,t,?,k,k,w,p,p,w,o,,w,v,l,p
,y,g,f,f,,c,b,,e,b,k,k,p,n,p,w,o,l,h,v,g,p
f,s,n,f,y,f,c,n,b,t,?,s,s,p,p,p,,o,e,w,v,d,p
,y,e,t,n,f,,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,e
b,s,y,t,a,,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
b,y,y,t,,f,c,b,k,e,c,,,w,w,,w,o,p,n,s,g,e
x,y,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,p,p
f,s,b,t,n,f,c,b,w,e,?,s,s,w,,p,w,t,e,,c,w,e
k,s,n,f,f,f,c,n,b,t,?,s,k,p,w,,w,o,e,w,v,p,p
f,f,n,t,n,,c,b,u,t,b,s,s,w,p,p,,o,,k,y,d,e
f,y,y,f,n,f,,n,w,e,?,k,y,w,n,p,w,o,,w,v,,p
f,s,w,f,n,f,w,b,n,t,e,f,s,,w,p,w,o,e,k,s,g,e
x,s,g,t,f,f,c,b,p,t,b,s,f,,w,,w,o,p,h,s,g,p
f,y,g,,n,f,c,b,w,t,b,s,,g,g,,w,o,p,,y,d,e
x,y,p,,n,f,c,b,e,e,?,s,s,e,,p,w,t,,w,c,w,e
x,y,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p,p
x,,e,t,n,f,c,b,p,t,b,s,s,g,,p,w,,p,,,d,e
f,y,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,,y,d,e
f,s,p,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,,r,v,m,p
,s,e,f,f,f,c,n,b,t,?,k,s,p,p,p,,,,w,v,l,p
f,y,e,f,y,f,c,,b,t,?,s,k,w,p,p,w,,e,w,v,l,p
b,f,g,f,n,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,n,,e
x,y,n,t,n,f,c,b,w,,b,s,s,g,w,p,w,o,p,k,y,d,e
b,s,w,t,,f,c,b,g,e,c,s,s,w,w,p,w,,p,k,s,g,e
x,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,,o,,,y,d,e
,y,e,f,s,f,c,n,b,t,,s,k,p,w,p,w,o,e,w,v,d,p
,f,,t,n,f,c,b,w,t,,s,s,w,g,p,,,p,k,y,,e
x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
x,s,e,f,f,f,c,n,,t,?,k,s,,p,p,w,o,,w,v,d,p
,s,e,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,p
f,s,n,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,p
x,f,g,,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,,e
f,f,e,t,n,f,c,b,n,,b,s,s,w,p,p,,o,p,,y,d,e
b,y,y,t,l,f,c,b,w,e,c,,s,w,w,p,,o,p,k,n,g,e
b,s,y,t,a,f,c,b,n,e,c,,s,w,w,p,w,o,p,n,s,g,e
f,f,g,f,f,f,c,b,g,e,b,k,k,,,p,w,o,l,h,y,p,p
x,,n,f,s,f,c,n,b,t,?,k,k,w,p,,,o,e,w,v,l,p
x,s,y,t,l,f,c,b,n,,c,s,s,w,w,p,w,o,p,k,n,m,e
x,y,n,f,y,,c,n,b,t,,s,s,p,p,p,,o,e,w,v,,p
x,f,y,f,f,f,c,b,h,,b,k,k,n,p,p,w,o,l,h,y,p,p
f,f,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,g,p
f,y,y,f,f,,c,b,g,e,b,k,k,p,n,,,o,l,,v,p,p
s,f,g,f,n,f,c,n,p,e,e,,s,w,w,p,w,o,p,n,v,u,e
x,s,n,f,y,f,c,n,b,t,?,,k,p,p,p,w,o,e,w,v,l,p
x,f,n,t,n,,c,b,p,,b,s,s,w,g,p,w,o,p,k,y,d,e
f,y,g,t,n,f,c,b,w,,b,s,s,p,w,p,w,o,p,k,,d,e
,y,w,t,l,,,b,k,e,c,s,s,w,w,p,,,p,k,n,g,e
x,f,n,t,n,f,c,b,w,t,b,s,s,w,,p,,o,p,n,y,d,e
x,,w,t,p,f,c,n,p,e,e,s,s,w,w,,w,,p,n,v,g,p
f,s,n,f,n,f,w,b,h,t,,s,,w,w,,w,o,e,k,a,g,e
k,s,n,f,f,f,c,,b,t,?,k,s,p,p,p,w,o,e,,v,p,p
f,y,,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,,p
f,y,g,f,f,f,c,b,p,e,b,k,k,b,,p,w,,l,h,y,d,p
k,s,e,f,,f,,n,,t,?,k,s,w,p,p,w,o,e,w,v,p,p
x,s,n,f,n,f,w,b,h,t,e,s,s,w,,p,,o,e,n,a,g,e
f,s,w,t,f,f,c,b,h,t,b,,s,w,w,p,w,o,p,h,v,u,p
k,y,n,f,s,f,c,n,b,t,?,s,s,p,w,,w,o,e,w,v,p,p
,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,p
,,e,f,,,,n,b,t,?,s,k,p,w,p,w,o,e,,v,p,p
f,y,w,t,p,f,,n,k,,e,s,s,,w,p,w,o,,n,,g,p
x,y,n,t,a,f,c,,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
x,f,e,t,n,f,c,,w,t,b,s,s,w,g,p,w,,p,k,v,d,e
x,f,n,,,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d,e
x,s,y,t,a,f,c,b,,e,c,s,s,w,w,p,w,o,p,,s,,e
f,y,g,f,,f,,b,,e,b,k,k,n,p,p,w,o,l,h,v,d,p
x,f,e,,n,f,c,b,u,t,b,s,s,p,w,p,w,o,,k,y,d,e
x,y,y,f,f,f,c,b,h,e,b,k,k,p,p,,w,o,,h,y,p,p
f,,e,f,f,,c,,b,t,,s,,w,p,p,w,o,e,,v,d,p
k,y,n,f,s,f,c,n,,t,?,k,,w,p,p,w,o,e,w,v,p,p
x,s,w,t,l,f,c,b,,e,c,s,s,w,w,p,w,o,p,k,n,m,e
f,y,n,f,,f,c,n,b,,?,s,s,w,p,,w,o,e,w,v,l,p
x,y,n,t,n,,c,,n,t,b,s,s,w,g,,w,o,p,n,v,d,e
f,f,,f,f,,c,b,p,e,b,k,,,n,,w,o,l,h,v,d,p
x,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
k,s,e,,f,f,c,n,b,t,?,k,k,w,w,p,,o,e,w,v,d,p
f,y,w,t,,f,c,n,n,e,e,s,,w,w,p,w,o,p,k,,,p
x,s,p,f,c,f,c,n,n,e,b,,s,w,w,p,w,o,p,,s,d,p
x,s,e,,s,f,c,n,b,t,?,s,,,p,p,w,o,,w,v,l,p
f,y,g,f,,f,c,b,g,e,b,k,k,n,,p,w,o,l,h,y,d,p
b,f,g,,n,f,w,b,w,e,?,k,k,w,w,p,w,,p,w,s,,e
x,s,n,f,n,a,,b,o,e,?,s,s,o,o,p,o,o,p,b,v,l,e
f,f,y,f,f,,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,,p
x,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,,k,v,d,e
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,,l,h,,p,p
,y,e,f,y,f,c,n,b,t,?,s,k,p,w,,w,o,e,w,v,d,p
,y,,t,n,f,c,b,w,,b,,s,g,g,p,w,o,p,n,v,d,e
x,f,,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d,e
x,y,y,t,a,f,c,,p,e,r,s,y,w,w,p,w,o,p,n,y,g,e
k,,n,f,y,f,c,n,b,t,?,s,s,p,p,p,w,,e,w,,p,p
f,,,f,f,,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,p
x,s,w,f,n,f,w,b,p,t,e,f,s,,w,p,w,o,,n,s,g,e
x,s,w,t,a,f,,b,,e,c,,s,w,w,,w,o,p,k,s,g,e
f,y,y,f,f,f,c,b,,,b,k,k,n,b,p,w,o,l,h,y,d,p
f,y,e,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,p
b,,w,f,,f,w,b,p,e,?,s,k,w,w,p,w,t,,w,n,,e
x,s,w,f,n,f,w,b,k,,e,s,f,w,w,p,w,o,e,,s,g,e
x,y,w,t,p,f,c,n,w,e,e,s,s,w,,p,w,o,p,k,s,,p
x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,,c,l,e
x,y,e,f,f,,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,p
f,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,p
