class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,x,,,t,,f,,,,t,,s,,p,,p,w,,,k,,d
e,f,,,,n,f,,,u,t,,s,,,g,,,o,,,y,d
e,f,f,e,,,,,,w,,b,s,s,,g,,,,p,,,
p,,y,g,,,,,b,,e,,k,,,n,,w,,,,,
e,f,,,,n,f,,,,t,b,,,,g,p,w,o,,k,v,
,,s,,,,f,,,b,t,,k,,,w,p,w,,e,,v,
p,f,s,w,t,p,,,,w,e,e,,,w,,,,,p,,s,
e,,f,g,t,,,,b,p,t,b,s,,w,w,p,w,o,p,,,
,f,,w,f,,f,,b,p,,e,,,w,,,w,o,e,,,
e,k,s,,,n,,c,,,e,?,,,o,,,,,,y,c,l
p,x,y,y,f,f,,c,,,e,,,k,,,,,,,h,,g
,,,w,t,a,f,,,,e,c,,s,,w,,,o,,,s,
e,,s,,f,,f,w,b,p,t,,f,,w,w,p,w,,e,k,s,
,f,,,,,,,,p,,,,,,n,,,,l,,,d
,k,y,n,,,f,c,,b,t,,,k,p,,p,,,e,,v,l
,f,,n,,,f,,,p,,b,,s,,,p,w,o,p,,,
p,f,f,g,f,f,f,c,,h,e,b,k,k,,p,,w,o,,,v,d
,f,,b,,n,,,,,,,,s,,w,,,,e,w,,
e,f,y,e,t,n,f,,,,,,s,,,,p,w,,,k,v,
,f,y,u,,n,,,n,,,?,s,,,,p,,o,f,h,,d
,f,f,n,t,,f,c,b,,t,,s,s,w,g,p,,,,,v,d
,f,s,,,n,,,,,,,,,w,w,p,w,o,,k,,g
,,,,t,f,f,c,b,,,,f,s,w,w,p,,o,,,,
,x,,,,,f,,,,e,,s,s,w,w,,,o,,,,g
,,,,,y,f,c,n,b,,,s,s,,,p,,,,,,p
,,,e,t,,,,,,t,b,s,s,w,,p,w,o,p,,,d
p,f,f,y,f,,f,c,b,,,b,,k,,,,w,,,,,
,k,,,f,s,,c,n,b,,,k,s,w,p,,w,o,e,,v,p
,,s,b,t,n,,c,b,w,e,?,s,s,,,p,,,e,w,c,
p,,y,,f,,f,c,n,b,,,,,,w,,w,o,,w,,
,,f,g,,n,f,,b,n,,,s,,p,,,,,p,,,d
,,,e,t,n,f,,b,u,t,,s,,,w,p,w,,,,v,
p,x,,,f,f,,,b,p,e,,k,k,,p,p,,,l,,,
e,,f,,,n,f,,,,t,b,,s,,,p,,o,,k,,d
e,,,b,,,,,,,e,,s,,e,,p,w,,e,w,,w
,f,,y,f,,f,c,b,p,e,b,,,,p,p,w,,,h,v,g
p,k,y,,f,,,c,n,b,,?,s,s,,w,,,,,w,v,
p,,,,f,f,,c,,h,e,b,,k,,n,p,,,l,h,,g
,f,y,,,n,,c,b,,t,b,s,s,w,p,p,w,,p,,y,d
e,,y,w,t,,,,,,,c,s,,,,p,,,,n,n,
e,,,p,,,f,c,b,w,e,b,,s,,,p,w,t,p,,,p
,,,g,f,,,c,b,g,,b,k,k,,p,p,,,,h,y,
p,,,,f,,f,,n,,t,,k,,,p,p,w,o,e,,v,p
,,s,,,,f,,n,,t,?,,s,p,,,,,e,,,p
,,,n,,,f,c,b,,,,,,,g,,,o,p,k,y,
p,,,y,,f,,,,,,b,,k,,,,,o,,h,v,
p,f,,,t,p,,c,,,e,,,s,,,,w,o,,n,,
,,,,f,n,f,,,w,,b,,y,,,,,t,p,w,,d
,f,s,w,,n,,,b,h,,,f,s,,,,w,,e,n,,g
,,y,n,t,,,,,w,,,,s,,,p,w,o,,k,v,
e,,,,t,,,,,u,,b,s,,p,p,p,w,,p,n,v,
e,,,,,n,f,w,,p,,,k,,,,,w,t,p,,s,g
e,x,s,,,a,f,c,b,n,,,s,,w,w,p,w,o,p,,,
p,,,,f,s,,,n,b,,,,,p,,p,,,e,w,,l
e,f,,,t,,,,,w,t,b,,s,w,g,,,,,,,d
p,x,,,f,s,f,c,n,,,?,,s,,p,,w,o,e,w,v,
p,,y,,f,,,,n,,,?,,k,,,p,w,o,e,w,v,l
,f,,b,t,,f,,,,e,?,,,e,,,w,t,,w,c,w
e,x,f,,t,n,f,c,,p,,b,,s,,p,p,,o,,,v,d
,,,,,s,f,c,n,b,,?,k,s,,,p,,o,e,,,l
e,f,,,,,,w,,,,e,,,w,,p,w,,e,n,,
,,y,,f,,f,,,,,b,,,p,,p,,,,h,,
p,x,y,g,f,,,,,,,,,k,p,b,,,,l,h,,g
p,,,n,f,,,c,,,,,k,,p,,p,w,o,,,,l
e,b,s,n,,,a,,b,y,,,,s,,,p,,o,p,,c,
p,,f,y,,f,f,,b,,,b,k,,p,,,w,o,l,h,v,
,,s,,,n,f,,b,p,,?,,,,,p,w,,,,n,
,,,,f,,f,c,,p,e,,k,k,n,b,p,,o,,,,
,,,n,,,f,c,,,t,b,,,,p,p,,o,,k,y,
p,,,,,,f,,b,,e,,,,,n,p,w,o,l,h,v,
,,,g,f,f,,c,,h,,,,,,p,,w,o,,h,,
,,y,e,,,f,c,n,,,?,k,,p,,p,,o,,w,v,
,f,,,f,,,,b,,t,e,,,w,,,,o,e,,,
,,y,,,s,f,c,,b,t,,,k,w,,,,o,,,,
e,x,f,,t,,f,c,b,n,t,,,,p,,p,w,o,p,,y,d
p,x,f,y,,f,f,c,b,,,,,k,,b,p,w,,l,h,y,
,,y,,,,f,c,n,u,,?,s,f,,w,p,w,,f,,v,d
e,,y,e,t,,,c,b,,t,b,,s,,,p,w,,,,y,d
e,f,,,,,f,c,b,,,,s,,,,,w,o,,,v,
,f,,g,,f,,c,,g,,b,k,k,p,,p,w,,,h,,p
,,y,,t,l,f,c,,,e,,s,,w,w,p,,o,,k,s,
e,,y,,,n,,c,b,u,,b,s,,p,p,p,,,,k,y,
e,k,,p,t,n,f,c,b,e,e,,s,s,,e,p,,t,,w,c,
,f,,y,t,a,f,,,p,t,,,s,,,p,w,,,n,v,
e,,s,,,,,w,b,p,,e,,s,w,w,,w,,e,,,
p,x,s,n,f,y,f,c,,,t,?,,,w,p,,,,,w,v,d
p,k,y,e,f,,f,c,,,t,?,s,k,,p,,w,o,e,w,v,
,,,e,,y,f,c,,,,?,,,,p,p,,,e,,v,d
,x,y,e,,s,f,c,n,,t,?,,,,,,w,o,e,,v,p
,,,,,y,,,,,,,s,,p,,,w,o,,,v,d
,f,y,p,t,n,f,,,,,?,,,e,w,p,,,,,,
e,,,n,,,f,c,,w,t,,s,s,,p,p,w,,p,,,d
,,s,y,t,,,,,n,e,c,s,s,w,w,,,o,,,,g
e,,s,w,,l,,w,n,,,b,,,w,w,p,,,,u,,
e,,f,e,t,n,f,,b,n,,,s,s,,g,,w,o,p,,,
,,,,,f,,,b,,,,f,,,,p,w,,p,,,
e,,f,g,,n,,w,,,e,,s,,,w,,w,t,,w,,g
,,,,,y,f,c,,,,?,s,,,,,,o,e,,v,d
,x,f,,t,n,,,b,p,t,b,,,,g,p,,o,p,n,y,d
p,,,n,f,y,f,c,n,,,,k,k,,p,p,w,,,,v,l
p,,f,,,,f,,,u,e,b,,s,,w,p,,,p,,,
p,,y,,f,s,f,c,,b,t,,,,w,,,w,o,e,,,l
,,,,,c,,,,g,,b,s,,w,,,,o,,,v,d
p,f,f,,f,f,,,b,g,,,,k,n,,,w,o,,,v,p
p,,s,,,,f,,,,t,b,f,,,,,w,,p,,s,
,,s,n,t,p,f,,,,,,,s,,,p,w,o,,n,,
,f,y,n,t,a,,c,,,,r,s,,w,,,,,p,k,,
,,,,,f,f,,,p,,,,,,n,p,w,,l,h,,
p,f,y,g,,,,c,b,,e,b,k,k,b,,,w,o,,,y,g
,,f,y,t,l,f,w,n,,t,,,s,,,p,,,,u,v,d
,,,g,,f,f,c,,,e,,,,,n,p,,o,,,,
,x,,n,t,,f,,b,,,,s,,w,,,,,p,,,
,,s,,,,f,,,,,,,,w,p,p,,o,e,,,d
,,,n,,n,,c,,,,?,,,o,o,p,o,,p,,v,
,,,w,,,f,,b,g,,,s,k,w,w,p,,,,,s,g
e,,f,,f,n,f,w,b,h,,,f,s,,,p,w,o,e,,s,g
,,f,,,n,f,w,,h,,,,,w,,,,o,,k,,
e,,s,p,,n,f,c,b,,e,,,,,e,,,t,e,w,c,w
,,,,,n,a,c,b,,,?,,,,o,,n,o,p,,,
p,x,,w,t,,f,c,,,,e,,s,,w,,,o,p,n,s,
e,,y,,t,,,c,,w,,,,s,,,p,w,,,k,,d
,k,s,,f,,f,,n,b,t,,,,p,w,,,o,e,,v,d
,x,,,,,,,b,o,e,?,,s,o,,,n,o,,o,,
e,,f,n,f,,f,,,n,t,e,s,f,,w,p,,,,n,,g
p,k,s,n,f,,,c,,,t,?,,,,w,,w,o,e,,,p
,,y,,f,y,f,c,n,,t,?,,,p,w,,w,,e,w,v,p
e,x,,n,f,,f,,,k,,e,,f,,,,w,,e,,,g
,,,,f,f,,,n,b,t,?,k,k,w,p,,w,o,,w,,
,,s,e,,,f,,,,t,?,k,,p,,p,w,o,,,v,d
,,,,,n,f,c,,,,,s,s,,e,p,w,,,,c,w
p,,s,n,f,f,f,c,,,,?,,,,,,,,,w,,
,,y,,,y,,,n,,t,,,k,,,p,,o,e,w,,l
e,x,,,,n,f,c,,,,b,,,g,,p,w,o,p,n,y,
,,,,,n,f,,b,p,e,?,s,k,w,w,p,,t,,w,s,
,,f,g,t,n,f,,b,,,b,,,,p,,w,o,p,,,
,x,,e,,s,f,c,n,b,t,?,k,k,,,p,,o,e,,,
p,,s,w,t,,,,,p,,b,s,,w,w,,,o,,,,
p,x,,,,,f,c,,,t,,,s,w,p,,w,,e,w,,
e,,y,n,t,n,f,c,,,,b,s,,w,,p,,,,,v,
e,,,,t,,f,,b,,,b,s,s,g,,,,o,p,,y,d
,f,y,,f,,,c,,b,,,,k,w,p,,w,o,e,,v,
,,,g,,f,,c,b,,,,k,,p,,,w,,l,h,v,g
,,,,f,,,,,b,,,,s,p,p,,,,,,v,
e,,,e,t,n,,c,b,,,b,,,w,,p,w,o,p,n,v,
,,s,,,,,,,,e,,,,,w,p,w,,,,n,g
,b,y,,,l,f,c,b,,,c,,s,,w,p,w,o,,n,,g
p,,y,,f,f,f,c,b,g,,,k,,,,p,,,l,,,p
e,f,,,,n,f,,b,w,,?,,s,w,,,w,t,,w,,w
p,,,n,f,f,f,,,,t,?,,,,w,,,o,e,w,,
e,f,f,,,,f,,b,u,t,b,s,,,,,,o,p,,y,d
p,f,y,y,f,,,c,n,,e,?,,,w,,p,,o,,w,v,d
e,f,s,w,f,n,f,,b,n,,e,f,s,w,w,,,,,,s,
,,s,g,,f,,c,,,,,s,f,,,,w,,p,,s,
e,,y,,,n,,,b,w,t,b,,s,,g,,w,o,,,y,
e,,,,t,n,,c,b,e,,?,,,,,,,,,w,,w
p,x,,y,,,f,c,b,h,,b,k,,b,,,,o,l,h,,
e,x,y,e,t,n,,,,,,,s,s,,,,w,,,,,d
e,,y,g,t,,,c,,,t,,s,s,,w,,w,o,,,y,
p,,s,p,t,n,,,b,g,,,,s,w,w,p,w,,p,r,v,m
,f,s,e,f,f,f,,,b,,,k,s,,,p,,,,w,,l
,f,,e,,,f,,,,,?,,,,,,w,o,e,,v,
,,,,f,,f,w,b,,,,k,,,w,,w,,,,,
e,x,,n,,n,f,c,b,,,,s,,g,w,p,w,o,p,,y,
e,b,,w,,,f,c,,,e,,s,,w,w,p,,,p,k,,
e,x,,,,,f,c,b,,,,s,,w,,,w,,p,,y,d
p,,,,f,,f,c,,b,,?,s,k,,,p,w,,e,,v,d
,,,e,,,,,b,w,t,b,s,,w,,p,w,,,,y,d
e,x,,n,f,,,,b,p,t,,f,,w,,,,,e,k,,
,x,s,e,,,,,n,b,t,,,s,,p,,,o,e,,,
p,f,s,,,,f,,n,,t,?,,,w,w,,,,e,,v,
p,,,,f,s,,c,,b,t,,s,,w,p,p,,,,w,,
e,x,f,g,f,,,c,n,n,,e,,,w,,p,,o,,n,v,u
e,f,,,t,n,f,,b,n,,,s,,,p,p,,,,,,d
e,,,,t,l,f,,,w,e,c,s,,w,,,,,,,n,g
,,,y,t,a,,c,b,n,e,,s,s,w,w,,w,o,p,,s,
p,f,,,f,f,,,b,g,,b,,k,,p,p,w,o,l,,y,p
p,,y,n,f,,,c,,,t,,,,,,,,,e,,,l
,,s,y,,l,f,c,b,,e,,s,s,w,,p,,,p,k,n,m
p,x,y,n,f,,,,,b,t,?,,,p,,,,,e,,,
p,,,y,f,,f,c,,,e,b,,,,p,p,w,,,h,y,p
,,,g,f,,,,b,,,b,,,b,b,,w,,,,,
,,y,,f,,,,,g,,b,,k,,,p,w,,l,,v,p
e,s,f,,,,,c,n,p,e,e,,s,w,w,p,,o,,n,,
,,s,,,y,f,,,,,,k,,,p,p,w,,,w,,l
,x,,n,,,f,,,p,,b,s,s,,g,p,,,,k,,d
e,,,g,t,,f,,,w,t,,,s,p,w,p,w,o,,k,,d
e,x,y,w,t,,,c,,,e,,s,,,,p,w,,,k,,g
e,x,f,,t,n,f,,,,t,,s,s,,,,w,o,p,,,d
,,y,w,,,,c,,,,,s,,,w,,,o,p,,,
e,,,n,,n,f,w,,,,,s,f,,,,w,,e,k,,g
,k,s,,f,f,f,,n,,t,?,k,s,p,p,,w,,,w,,
p,f,y,n,f,f,f,c,n,,,?,,,,p,p,,o,,,v,l
,f,y,g,f,f,,c,b,p,,b,k,,,n,,w,,l,,y,d
,,s,,f,y,,c,,b,,,k,,w,p,p,,,e,w,v,
e,x,s,,f,n,f,w,,,,e,,,w,w,,w,,e,,,g
p,f,s,w,,f,,c,b,h,,b,,,,,,,,,,v,u
,,,n,f,s,f,c,,,,,,,,w,p,,o,e,w,,p
,,f,,f,,f,c,b,,,b,k,k,b,b,p,w,o,l,,v,d
p,,s,,,,,,n,b,t,?,s,,,w,,w,o,e,,v,
p,,,,,p,f,c,,k,e,,,s,w,,,w,o,,,v,g
e,,,n,,,f,c,,,e,r,,y,,w,p,,o,p,,s,
e,x,,,t,n,,,b,w,t,b,,s,,,,,o,,k,v,d
,x,,n,,,f,,,,t,b,,,p,,,,,p,,y,d
,x,,,t,,,c,,k,e,c,,,w,w,p,,o,,k,s,g
,,y,,,,f,,b,,e,,k,k,n,,p,,o,l,h,v,
e,,,,,,f,c,b,u,t,b,,s,p,,,w,o,,,,
p,x,y,,f,,f,,,,e,b,,k,,p,,,,,h,y,p
p,,s,e,,f,f,,n,b,,?,s,k,,,,w,,e,w,,d
p,k,,,f,,f,c,n,b,,,k,,w,,p,,o,e,,,p
e,x,s,,t,l,,,b,,e,c,,,w,w,,w,,p,k,,m
p,f,,n,,,f,,n,b,,?,,s,,p,,,o,,,,l
e,,y,,t,,,,b,,,,,s,,g,p,w,o,p,n,,d
p,,,,,f,,,,,e,,,k,,n,p,w,o,l,,v,d
e,,f,,f,n,,,b,,,,,s,w,w,,w,o,,k,a,g
,,s,e,f,f,,c,n,,,?,k,k,w,,,w,o,,w,,
,f,y,w,,,,c,n,,,,s,s,w,,,w,o,,k,s,
,,s,p,,,f,,n,n,e,,s,,,,p,,,,n,,
,x,,,,s,,c,n,,,?,s,k,p,,p,w,,,,,
p,f,y,,,,,c,b,g,,,,,n,b,p,,o,,h,,d
e,,,g,,,f,,b,w,,?,,,,w,p,,t,,,,g
e,,,,,,a,c,,,,,,s,,,p,,,,b,,
p,,,y,,f,f,c,b,,,b,,k,,,,w,,l,,v,
e,,,g,t,,,,b,,,b,s,,,,p,w,,p,,v,d
p,,,,,f,,c,,,,,,,,,,,,l,,v,p
,f,,,f,,f,c,,,t,,,,p,w,p,w,o,e,w,v,
,,,e,t,,f,c,,w,t,b,,s,g,g,p,w,,,,v,d
,,,,t,n,,c,,,,b,s,,p,w,p,,,,,y,
e,,y,,t,a,,,,p,,,s,,,,,w,o,,,,
p,,,n,f,y,f,c,n,b,,,,,p,,p,,,,w,,
p,,f,g,f,,f,c,,,e,,k,,n,n,p,,,l,,,p
,x,,,,,f,,b,p,,,,s,w,w,p,w,o,,,,g
e,x,s,,,a,f,,,n,,c,,,w,w,,w,,p,k,s,g
p,,y,,f,,f,c,,,,b,,k,n,b,,,o,l,,y,d
,,,e,,,,c,,,,,k,,w,,,w,,e,,,
,,s,w,,n,f,,b,p,,,s,,w,w,p,,,,w,,
,,s,w,,,,w,b,k,,,s,,w,,,w,,e,,s,
,x,,,,,,c,,,e,,,s,,,,w,,p,k,s,g
e,,s,n,,,a,,b,,,,,,o,,,o,,p,b,c,
p,x,y,,,f,f,,,,,,k,,,w,p,w,o,e,w,,
p,,,,,,f,c,,,,,k,k,,p,,w,,,w,,p
,x,y,n,t,n,,,b,u,t,b,,,,p,,,,p,,y,d
,,,n,f,,f,w,b,,,,,s,,,,w,,e,,,g
e,x,,,,n,,c,b,,t,b,,s,,p,,,o,p,n,y,
p,k,y,n,,y,f,,n,b,t,,s,k,p,p,,,,,,v,l
,x,,g,,,f,,b,,t,,s,s,,w,,w,o,,,,
p,,,g,,f,f,c,,,e,,,k,,,p,w,o,l,,y,
e,,f,e,,n,,,,p,,b,,s,g,p,p,,,,,,
p,k,s,,,,f,c,n,b,,?,,,w,p,,w,o,e,w,v,d
e,f,,n,,n,f,,b,,e,?,,s,w,,p,,t,,,,
p,,f,,f,,f,,,h,e,b,,k,p,n,,,o,,h,v,
,x,s,,,c,f,,,,e,b,,s,,w,,,,p,n,s,
,f,,y,,,f,c,,p,e,,,k,,,,,,l,,v,
,,,,f,,f,,,b,,?,k,,p,,p,w,o,,w,,d
,,y,,,n,f,,,,t,b,s,s,w,,,,o,p,,v,
,x,s,,f,,,,b,,t,,f,,,w,p,,o,,n,a,g
e,,f,n,t,n,f,,b,w,,,s,s,g,p,p,,o,p,,y,
p,k,y,n,,y,f,c,n,b,t,?,k,,w,,,w,o,,w,v,
p,x,,,,,,c,n,,,?,s,k,,,,w,o,,,,
,,,,,f,f,,b,p,,,k,,,,p,w,o,,,,p
,x,y,w,t,l,,c,,k,,,s,s,,,p,,o,,,s,m
,x,,w,f,n,f,w,,p,,,,f,,,p,w,o,,k,a,
p,,,,f,,,,,g,,b,,,b,b,,,,l,h,,p
p,,y,,,,,c,,p,e,,,,p,,,,o,,h,y,
p,x,y,,f,,f,,,,,,,,,,p,w,o,,,,l
e,b,,,,,,,b,,e,,s,k,w,w,p,,t,,w,n,
,,,,f,n,f,w,b,,,e,,,,,p,w,,e,n,a,
,f,,g,,,,c,,u,t,b,s,,,g,,,o,,k,v,
,,,,,y,,,n,b,,?,k,s,,,,,o,,w,v,p
p,,s,,,f,f,,,,t,b,f,s,,,,w,,p,h,s,
p,,y,,,f,f,c,n,b,,,,s,,,p,,,e,w,v,
p,f,,n,f,,f,,n,,,,k,,p,p,p,,o,,,v,
,,s,e,,y,,c,n,,,?,,k,w,,,,o,e,w,,p
,f,,,,n,f,,,,t,e,f,f,w,,,w,o,,,a,
,k,y,e,,f,,c,,,,?,s,,,p,,w,o,,w,,d
,x,f,g,,f,,c,,g,,,k,k,,p,,,o,l,h,,
e,f,f,,,,f,,b,,,b,s,,,w,,,,,k,y,d
p,f,s,,,y,,c,n,,t,,,s,,,p,,o,,w,v,
,x,,g,f,n,f,,b,,t,,,s,,w,,w,,,k,,
e,x,,n,,,,,b,p,,b,s,s,g,,,,o,p,k,,d
e,,,g,,n,f,,b,w,,,,s,p,,,w,o,p,n,,
,,y,,f,f,f,c,n,,,?,,,p,,p,w,o,,w,v,p
,,s,,f,s,,c,n,,t,?,k,,w,,p,,,,,v,
p,x,y,e,f,,,c,n,b,t,?,k,s,w,,,,o,e,w,,l
e,,y,e,t,n,f,c,,n,,b,,s,w,,p,,o,p,,y,
,f,,e,f,f,f,,,b,,,,,,w,p,w,o,,w,,l
,,f,n,,,f,c,,w,t,b,,,,,,w,o,p,n,,d
,x,,g,,n,f,,,k,t,,,f,w,w,p,w,o,,,s,g
p,x,,n,f,,f,,n,,,,s,s,,p,p,w,o,,w,,
,k,,,f,,,,n,,t,?,,s,w,,,,o,,w,,p
,,f,,f,,f,,,k,,,s,s,w,w,p,w,o,,k,,
p,f,y,,,f,,c,b,,,,k,,,,p,w,o,l,,v,p
e,b,,,,l,f,c,b,w,e,,,s,,w,p,,o,p,,s,
p,k,,e,,y,f,,,b,,?,,s,,,,,o,e,,,p
,,,,,,f,w,b,,t,,s,s,w,,p,,o,,k,a,
p,f,,,,,,c,b,,,,k,k,,p,,,,l,,,d
e,f,y,,t,n,f,c,,,t,b,,,,,p,w,o,,,,d
e,,f,e,t,,,c,,p,,b,,,,,p,,,,k,,
,x,,w,t,,f,,,g,,,,,w,,,,o,,k,,g
p,,y,g,,f,,,,,,b,,k,n,,p,,o,,h,y,
,,,w,f,,f,w,,,t,e,,,,w,,,o,e,k,,
,f,f,,t,,f,w,n,,,b,s,s,,w,p,,o,,,,
,,f,,f,f,f,c,,h,e,,k,k,b,,,,,l,,y,p
,f,y,,,,,c,,h,e,,,,,w,,,o,,h,v,
e,f,,n,,n,,c,b,,,,,,g,p,,,,,n,,
,,f,,,,f,,,,e,,s,,w,w,,,,p,k,,
,x,s,,,f,f,c,b,,,b,f,,,w,p,w,,p,h,v,u
,,f,,t,,,,n,,t,,s,s,w,,p,w,,p,,v,d
,x,,,f,f,f,,n,,t,,,s,p,p,p,,o,e,,v,l
,,,w,f,,f,,b,,,,s,,,w,,w,o,e,n,a,g
e,f,f,,t,n,,c,,,,b,s,s,,,p,,,,n,v,d
,,,,,,f,,b,,,,,,p,,,w,o,l,h,,g
e,,,y,,l,f,c,,,e,,,y,,w,p,,,,,,g
e,x,y,,,a,f,c,,g,,c,s,s,w,,p,,,,k,,g
,,,,t,n,,,,w,,,,,g,p,p,,,,,,d
,,y,,,,,,b,g,,,k,k,,b,,w,o,,,y,g
e,,,,t,n,,c,b,,e,,s,s,w,,,,,p,,y,
p,x,y,n,f,y,,,n,,,,k,,,,,,o,,w,,
p,f,y,,f,s,f,,n,,,?,,k,w,p,,w,,e,w,v,d
p,,y,,f,,f,,,,,,s,k,,,p,,o,,w,,
,,s,,f,,f,,,,,?,,k,w,w,,w,,,,v,
,f,,g,,f,f,,b,,e,,,,b,n,p,w,,l,h,,
,f,s,b,t,,f,,b,p,t,,s,,,,,,,p,h,v,
,,y,n,,l,f,c,b,,e,,s,,w,,,,o,,n,y,
,x,y,,f,,f,c,,g,,,k,,n,,p,w,o,l,,,g
e,b,f,g,f,n,,,b,w,,,s,k,,w,,w,,,,,g
,,,w,,n,f,w,,k,,e,s,,w,,,w,o,,k,s,
,,,g,t,,,,b,u,,,,s,g,g,p,w,o,,,v,
e,,,e,,n,f,c,,,t,b,s,s,,w,,,o,,n,v,d
p,f,,n,f,y,f,,,b,,?,s,,,,p,w,o,e,,,
p,x,,,f,f,f,,,g,,b,,,,n,,,,,,y,d
e,,,g,,n,,c,,u,t,,,s,g,g,,w,o,p,k,,d
,,s,w,,,f,,,,,,s,,w,,p,,o,,n,s,
,x,,g,,,f,,b,,t,b,,s,w,,,w,,p,k,v,d
p,x,y,,f,,f,c,b,,e,b,k,,p,p,,,o,,,v,
,,,n,f,n,,w,b,,t,e,,,w,,p,,o,e,,s,
,,s,n,,s,,,n,,t,?,s,s,,w,p,w,o,e,w,,
e,k,,,f,,f,,,w,,,,,,w,,,,p,,,
,,,e,,,f,c,n,,,?,k,k,,,p,w,o,e,w,v,d
e,,y,e,,n,,c,b,w,,,s,,,,,,,p,k,y,
p,,,e,f,y,f,c,,,,,,,p,,,,o,e,,,p
,f,y,,f,,,c,b,,,,,k,p,,p,,o,,h,,d
,,f,,f,f,f,c,b,g,e,,k,,,p,p,w,o,,,v,p
,b,,w,f,,f,w,b,,e,?,,,,,,,t,,,n,
e,,s,,,n,,w,,,t,,f,,,,p,,,,k,,
,,,,,n,,c,b,w,t,b,s,,w,,,,,,,y,
p,f,,b,t,,,c,,,,,s,s,,w,,,o,p,h,,g
e,,s,,,,,w,,,e,?,s,,,,,,t,,,s,g
p,x,,n,,f,f,c,,b,t,?,,,,w,,w,o,,,,
,,,g,f,n,f,w,,,e,,s,,w,w,p,w,t,,,n,g
,f,f,,t,n,f,,,p,,,s,,w,p,,w,,,,y,d
,x,,,t,l,,,b,n,,,s,y,,w,,w,o,,,s,
,f,f,,,n,f,c,b,,,b,,,w,g,,,o,p,,v,
,,,w,t,,,,,,,c,,,,,,,,,,s,g
,,y,e,,n,f,,b,,,b,,,,,p,w,o,,k,,
,,,,t,n,f,,b,u,,b,,s,,p,p,,,p,k,v,
,f,,,,,f,,,,t,,k,,,,,w,o,,,,p
,,,y,,l,f,,b,,e,,,,w,w,,,o,p,,,
e,,,n,,a,f,c,,n,e,r,,,w,w,,,o,p,n,,
,x,y,,t,,,,,,,r,,,w,w,,,,,n,y,p
e,x,,w,f,,,w,,,,e,f,,w,w,p,w,,,n,,g
,,y,n,,,f,,b,n,,b,s,,,p,p,w,,p,,,
e,x,f,e,t,,,,,,,,s,,,,,w,o,,k,v,
,,,,,,f,c,,,e,b,k,,,,,,o,,h,y,
,,,n,f,,,,n,b,t,?,k,s,p,w,,w,o,e,w,v,
p,,,n,f,,,,n,,t,?,s,s,p,p,,w,,e,w,,
,,y,,f,,,,,,e,b,k,k,,b,,w,,l,,v,d
e,x,,n,t,n,f,,,,t,,s,,,,,,,,,y,d
e,,,y,,,f,,b,,e,c,s,s,w,w,,,o,p,,n,
p,f,,g,f,f,f,c,,h,,,k,,b,b,,w,,,h,,
,x,,,f,f,,,b,,e,b,k,,n,,p,,,,h,v,
e,x,,n,t,,f,,b,,,b,,s,,g,p,,,,k,v,
e,,f,n,t,n,f,c,,,t,,,s,w,w,,,,,k,v,d
,,,,f,n,,,,n,,,f,f,w,,,,,,,a,
,f,,g,,f,,,,p,e,b,k,,n,p,p,w,o,l,,v,
e,,,r,f,n,f,c,n,,,,,,w,,p,,o,,,,d
e,x,f,e,,n,f,c,b,,t,b,,,,,p,,,,n,v,
e,x,f,n,t,,,,b,,t,,,s,w,g,p,w,o,,k,,
p,f,y,n,,,,,n,,t,?,k,k,,p,,w,,,,v,
,,s,e,,y,f,c,,b,,?,s,s,,p,p,w,,,,,
,,f,y,,f,f,c,,p,,b,,,p,,p,w,o,l,h,v,
e,,s,n,f,,a,,,y,,?,,,o,o,,,,p,n,,l
,,f,,,n,f,,,,t,b,s,,,p,,,o,p,,,d
,,,e,,,,c,,,,,k,,p,w,,w,,e,w,v,
,,,e,,s,,,,,t,,s,s,p,p,p,w,o,e,w,v,p
,,,y,f,f,,c,b,,,b,k,,,,p,,,l,,v,
e,x,f,n,,,,,,u,t,b,,,,p,p,,,,,,
p,,,y,f,,f,c,b,,,b,k,,n,p,,w,,l,h,v,
e,b,,,t,a,f,,b,,e,,,s,,,,,,,,,
,x,y,e,t,,,,b,,t,,,s,,w,p,w,,p,k,y,
e,x,,e,,,f,c,,u,,b,s,,,,p,w,o,,,,
p,,,y,,f,f,,,,,,,k,,,p,w,o,,h,,d
,b,,,,,f,,,w,e,,k,,,w,,w,,p,w,,g
p,,,,,,,c,,,t,,s,s,,w,p,w,o,e,,v,d
p,x,,,f,,f,c,,,,,k,,,,,,o,l,h,,p
,,,,,f,,c,b,,e,,k,,,,,w,o,l,,v,d
p,,,p,,,f,c,n,n,,,,,,w,,,,p,,,
e,,s,w,,,,,,k,t,e,s,s,,w,p,w,,,,a,
p,,,,f,,f,c,,,e,b,,,n,,,,,l,,y,d
e,,,,,,f,c,,,t,,,,,w,p,,o,p,k,y,d
e,f,s,p,,n,,,,,e,?,s,,,w,,,t,e,,,w
e,f,,,t,n,f,,,,t,,s,,,,,,o,p,,,d
